Strike ID,Date,Adm_3,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
AFG0001,01/01/2015,Unknown,Spera,Khost,0,0,0,0,0,0,0,0
AFG0002,03/01/2015,Unknown,Gayan,Paktika,18,18,0,0,0,0,0,0
AFG0003,03/01/2015,Unknown,Spera,Khost,7,7,0,0,0,0,0,0
AFG0004,06/01/2015,Unknown,Dara I Pech,Kunar,0,0,0,0,0,0,0,0
AFG0005,07/01/2015,Unknown,Unknown,Logar,3,3,0,0,0,0,0,0
AFG0006,08/01/2015,Chikanawr,Lal Pura,Nangarhar,6,6,0,0,0,0,3,3
AFG0007,11/01/2015,Chikanawr,Lal Pura,Nangarhar,8,8,0,0,0,0,3,3
AFG0008,16/01/2015,Unknown,Nazyan,Nangarhar,3,3,0,0,0,0,0,0
AFG0009,17/01/2015,Unknown,Lal Pura,Nangarhar,0,0,0,0,0,0,0,0
AFG0010,19/01/2015,Unknown,Khugyani,Nangarhar,0,0,0,0,0,0,0,0
AFG0011,08/02/2015,Azankarez,Kajak,Helmand,6,8,0,0,0,0,0,0
AFG0012,10/02/2015,Unknown,Khas Kunar,Kunar,2,2,0,0,0,0,0,0
AFG0013,11/02/2015,Unknown,Nazyan,Nangarhar,2,9,0,0,0,0,0,0
AFG0014,18/02/2015,Fathi Khani,Khogyani,Nangarhar,8,8,0,0,0,0,0,0
AFG0015,02/03/2015,Unknown,Alishir,Khost,1,1,0,1,0,0,0,0
AFG0016,10/03/2015,Mamond,Achin,Nangarhar,6,6,0,0,0,0,0,0
AFG0017,11/03/2015,Unknown,Sarakani,Kunar,0,0,0,0,0,0,0,0
AFG0018,13/03/2015,Unknown,Lal Pura,Nangarhar,0,0,0,0,0,0,0,0
AFG0019,18/03/2015,Unknown,Chinar Khor,Kunar,0,0,0,0,0,0,1,1
AFG0020,23/03/2015,Unknown,Nazyan,Nangarhar,9,13,0,0,0,0,0,0
AFG0021,24/03/2015,Unknown,Unknown,Kunar,11,11,0,0,0,0,0,0
AFG0022,25/03/2015,Unknown,Sia Gird,Parwan,0,0,0,0,0,0,0,0
AFG0023,26/03/2015,Unknown,Zurmat,Paktia,0,0,0,0,0,0,1,1
AFG0024,12/04/2015,Unknown,Dara I Pech,Kunar,3,3,0,0,0,0,0,0
AFG0025,28/04/2015,Degal,Chapa Darre,Kunar,3,3,0,0,0,0,0,0
AFG0026,03/05/2015,Unknown,Mohmand Dara,Nangarhar,12,12,0,0,0,0,0,0
AFG0027,04/05/2015,"Dabili, Landi Basawal area",Mohmand Dara,Nangarhar,17,17,0,0,0,0,0,0
AFG0028,07/05/2015,Unknown,Khas Khar,Kunar,6,7,0,1,0,1,0,0
AFG0029,07/05/2015,Unknown,Goshti,Nangarhar,4,4,0,0,0,0,0,0
AFG0030,09/05/2015,Machi Megi,Lal Pura,Nangarhar,13,13,0,0,0,0,0,0
AFG0031,14/05/2015,Unknown,Bati Kot,Nangarhar,4,4,0,0,0,0,1,1
AFG0032,15/05/2015,"Various: Chahardahi in Bati Kot, Bandar Darah in Dur Baba, Murdai in Achin","Various: Nazyan, Bati Kot, Bandar Darah, Dur Baba, Achin",Nangarhar,5,41,0,0,0,0,0,0
AFG0033,21/05/2015,Katar village,Watapor,Kunar,4,5,0,0,0,0,0,0
AFG0034,27/05/2015,Unknown,Want Waigal,Nuristan,5,5,0,0,0,0,0,0
AFG0035,28/05/2015,Unknown,Watapor,Kunar,1,1,0,0,0,0,0,0
AFG0036,31/05/2015,Unknown,Baraki Barak,Logar,2,3,0,3,0,2,0,0
AFG0037,03/06/2015,Shogam area,Shigal,Kunar,3,6,0,0,0,0,0,0
AFG0038,04/06/2015,Unknown,Achin,Nangarhar,1,1,0,0,0,0,0,0
AFG0039,04/06/2015,Unknown,Chapahar,Nangarhar,6,6,0,1,0,0,0,0
AFG0040,04/06/2015,Unknown,Chapahar,Nangarhar,11,11,0,0,0,0,0,0
AFG0041,05/06/2015,Ali Shir,Tere Zayi,Khost,14,14,14,14,0,0,0,0
AFG0042,07/06/2015,Unknown,Chapa Dara,Kunar,1,1,0,0,0,0,0,0
AFG0043,08/06/2015,Samso,Lal Pura,Nangarhar,7,7,0,5,0,5,0,0
AFG0044,08/06/2015,Unknown,Lal Pura,Nangarhar,3,3,0,0,0,0,0,0
AFG0045,11/06/2015,Maroufkhil,Khushamand,Paktika,30,30,0,0,0,0,0,0
AFG0046,11/06/2015,Jarkani,Yousufkhil,Paktika,2,2,0,0,0,0,0,0
AFG0047,14/06/2015,Unknown,Dangam,Kunar,7,15,0,5,0,5,0,0
AFG0048,15/06/2015,Unknown,Chak e Wardak,Wardak,2,2,2,2,0,0,0,0
AFG0049,18/06/2015,Unknown,Chazi Abad,Kunar,0,0,0,0,0,0,0,0
AFG0050,19/06/2015,Unknown,Mohmand Dara,Nangarhar,8,8,0,0,0,0,0,0
AFG0051,19/06/2015,Kamar Kandaw,Haska Meena,Nangarhar,4,7,0,0,0,0,0,0
AFG0052,20/06/2015,Unknown,Kanish,Nuristan,4,9,0,0,0,0,0,0
AFG0053,21/06/2015,Barikaab Dab,Bati Kot,Nangarhar,6,7,0,0,0,0,0,0
AFG0054,26/06/2015,Unknown,Unknown,Nuristan,6,6,0,0,0,0,0,0
AFG0055,27/06/2015,Unknown,Unknown,Paktika,1,1,0,0,0,0,0,0
AFG0056,27/06/2015,Mardish,Want Waigal,Nuristan,5,5,0,0,0,0,3,3
AFG0057,30/06/2015,Machi Megi,Lal Pura,Nangarhar,4,14,0,0,0,0,12,12
AFG0058,04/07/2015,Unknown,Ghanikhel,Nangarhar,12,12,0,0,0,0,0,0
AFG0059,04/07/2015,Unknown,Chappa Dara,Kunar,1,1,0,0,0,0,0,0
AFG0060,04/07/2015,Unknown,Dara I Pech,Nangarhar,0,0,0,0,0,0,0,0
AFG0061,05/07/2015,Unknown,Chaparhar,Nangarhar,3,3,0,0,0,0,0,0
AFG0062,06/07/2015,Unknown,Achin,Nangarhar,12,12,0,0,0,0,0,0
AFG0063,06/07/2015,Unknown,Achin,Nangarhar,13,37,0,0,0,0,0,0
AFG0064,07/07/2015,Unknown,Achin,Nangarhar,11,49,0,0,0,0,0,4
AFG0065,07/07/2015,Unknown,Achin,Nangarhar,18,18,0,0,0,0,0,0
AFG0066,07/07/2015,Unknown,Haska Meena,Nangarhar,25,25,0,0,0,0,0,0
AFG0067,07/07/2015,Unknown,Bati Kot,Nangarhar,4,4,0,0,0,0,2,2
AFG0068,08/07/2015,Tangi,Dih Bala,Nangarhar,25,52,0,0,0,0,0,0
AFG0069,10/07/2015,Unknown,Achin,Nangarhar,30,31,0,0,0,0,0,0
AFG0070,11/07/2015,Unknown,Bermal,Paktika,3,3,0,0,0,0,0,0
AFG0071,12/07/2015,Maidnak and Chehal Gazi,Achin,Nangarhar,12,12,0,0,0,0,0,0
AFG0072,14/07/2015,Unknown,Haska Mina,Nangarhar,28,28,0,0,0,0,0,0
AFG0073,16/07/2015,Unknown,Tor Khail,Wardak,8,16,0,0,0,0,0,0
AFG0074,16/07/2015,Unknown,Haska Mina,Nangarhar,6,6,0,0,0,0,0,0
AFG0075,20/07/2015,Cheltan,Baraki Barak,Logar,7,10,0,0,0,0,5,6
AFG0076,26/07/2015,Chaknawr,Lal Pura,Nangarhar,5,6,0,0,0,0,0,0
AFG0077,29/07/2015,Harun Baba,Haska Mina and Pachiragam,Nangarhar,12,20,0,0,0,0,0,0
AFG0078,02/08/2015,Cholzi,Baraki Barak,Logar,4,4,0,0,0,0,0,0
AFG0079,04/08/2015,Unknown,"Sherzad, Haska Mina and Deh Bala",Nangarhar and Paktika,56,66,0,0,0,0,0,0
AFG0080,08/08/2015,Gorgori,Haska Mina,Nangarhar,10,10,0,0,0,0,0,0
AFG0081,09/08/2015,Unknown,Nazyan,Nangarhar,2,6,0,0,0,0,0,0
AFG0082,10/08/2015,Shonkorok Valley,Shegal,Kunar,3,3,0,0,0,0,0,0
AFG0083,17/08/2015,Unknown,Day Mirdad,Wardak,4,5,0,0,0,0,0,0
AFG0084,17/08/2015,Unknown,Chak,Wardak,2,3,0,0,0,0,0,0
AFG0085,23/08/2015,Unknown,Musa Qala,Helmand,40,40,0,0,0,0,0,0
AFG0086,26/08/2015,Kotikhil,Shirzad,Nangarhar,4,4,0,0,0,0,0,0
AFG0087,27/08/2015,Unknown,Musa Qala,Helmand,0,0,0,0,0,0,0,0
AFG0088,30/08/2015,Unknown,Musa Qala,Helmand,0,0,0,0,0,0,0,0
AFG0089,31/08/2015,Unknown,Nahr e Saraj,Helmand,2,2,2,2,0,0,0,0
AFG0090,01/09/2015,Unknown,Musa Qala,Helmand,0,0,0,0,0,0,0,0
AFG0091,06/09/2015,Unknown,Garamser,Helmand,11,31,0,0,0,0,4,4
AFG0092,06/09/2015,Unknown,Maiwand,Kandahar,0,0,0,0,0,0,0,0
AFG0093,08/09/2015,Unknown,Ghazi Abad,Kunar,2,2,0,0,0,0,0,0
AFG0094,10/09/2015,Unknown,Gomal,Paktika,5,15,0,0,0,0,0,0
AFG0095,13/09/2015,Marsangi,Lal Pura,Nangarhar,4,5,0,0,0,0,2,2
AFG0096,17/09/2015,Melawe,Nazyan,Nangarhar,5,5,0,0,0,0,0,0
AFG0097,29/09/2015,Kunduz airport,Kunduz city,Kunduz,0,0,0,0,0,0,0,0
AFG0098,29/09/2015,Kunduz airport,Kunduz city,Kunduz,0,0,0,0,0,0,0,0
AFG0099,30/09/2015,Kunduz airport,Kunduz city,Kunduz,0,24,0,0,0,0,0,0
AFG0100,30/09/2015,Kunduz airport,Kunduz city,Kunduz,0,0,0,0,0,0,0,0
AFG0101,30/09/2015,Kunduz airport,Kunduz city,Kunduz,0,0,0,0,0,0,0,0
AFG0102,30/09/2015,Kunduz city,Kunduz city,Kunduz,3,3,0,0,0,0,0,0
AFG0103,02/10/2015,Kunduz city,Kunduz city,Kunduz,0,0,0,0,0,0,0,0
AFG0104,02/10/2015,Kunduz city,Kunduz city,Kunduz,0,0,0,0,0,0,0,0
AFG0105,03/10/2015,Kunduz city,Kunduz city,Kunduz,42,42,42,42,3,3,27,27
AFG0106,05/10/2015,Kunduz city,Kunduz city,Kunduz,0,0,0,0,0,0,0,0
AFG0107,11/10/2015,Unknown,Shurabak,Kandahar,100,200,0,0,0,0,50,50
AFG0108,13/10/2015,Unknown,Unknown,Nangarhar,6,6,0,0,0,0,0,0
AFG0109,19/10/2015,Unknown,Kharwar,Logar,0,20,0,0,0,0,0,0
AFG0110,23/10/2015,Unknown,Nazyan,Nangarhar,6,6,0,0,0,0,3,3
AFG0111,23/10/2015,Mamand or Bandar,Achin,Nangarhar,8,10,0,0,0,0,0,0
AFG0112,23/10/2015,Bandar,Achin,Nangarhar,3,3,0,0,0,0,0,0
AFG0113,23/10/2015,Abdul Khel,Achin,Nangarhar,10,10,0,0,0,0,0,0
AFG0114,27/10/2015,Syah Cho,Achin,Nangarhar,11,12,0,1,0,0,0,0
AFG0115,29/10/2015,Unknown,Nazyan,Nangarhar,3,4,0,0,0,0,0,0
AFG0116,29/10/2015,Unknown,Ghazi Abad,Kunar,3,3,0,0,0,0,0,0
AFG0117,29/10/2015,Unknown,Lal Pura,Kunar,4,4,0,0,0,0,2,2
AFG0118,31/10/2015,"Choni Sar area, Shultan valley",Shigal,Kunar,2,2,0,0,0,0,0,0
AFG0119,04/11/2015,Unknown,Achin,Nangarhar,0,29,0,0,0,0,0,0
