Strike ID,Date,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Adm_3
B1,17/06/2004,Wana,South Waziristan,6,8,2,2,2,2,1,1,Unknown
B2,08/05/2005,Toorikhel,North Waziristan,2,2,0,0,0,0,0,0,Unknown
B3,05/11/2005,Mosaki,North Waziristan,8,8,3,8,2,3,1,1,Unknown
B4,01/12/2005,Haisori,North Waziristan,6,6,2,3,2,2,0,0,Unknown
B5,13/01/2006,Damadola,Bajaur Agency,13,22,10,18,5,6,0,0,Unknown
B6,30/10/2006,Chenegai,Bajaur Agency,81,83,80,82,68,70,3,3,Unknown
B7,16/01/2007,Zamazola,South Waziristan,8,8,8,8,1,1,0,0,Unknown
B8,27/04/2007,Saidgai,North Waziristan,3,4,3,4,0,0,3,9,Unknown
B9,19/06/2007,Mami Rogha,North Waziristan,20,34,0,34,0,0,10,15,Unknown
B10,02/11/2007,Danda Darpakhel,North Waziristan,5,10,0,0,0,0,6,12,Unknown
B11,03/12/2007,Jani Khel,Bannu Frontier Region,0,0,0,0,0,0,1,1,Unknown
B12,29/01/2008,Mir Ali,North Waziristan,12,15,4,6,2,3,1,2,Unknown
B13,28/02/2008,Azam Warsak,South Waziristan,10,13,0,0,0,0,6,16,Unknown
B14,16/03/2008,Dhook Pir Bagh,South Waziristan,18,20,0,4,0,0,5,9,Unknown
B15,14/05/2008,Damadola,Bajaur Agency,12,20,4,6,1,4,9,9,Unknown
B16,14/06/2008,Makeen,South Waziristan,1,1,0,1,0,0,0,0,Unknown
B17,28/07/2008,Zeralita,South Waziristan,7,12,1,5,0,2,3,3,Unknown
B18,12/08/2008,Bhaggar,South Waziristan,12,25,0,5,0,0,0,4,Unknown
B19,20/08/2008,Zari Noor,South Waziristan,6,12,0,0,0,0,5,5,Unknown
B20,27/08/2008,Ganki Khel,South Waziristan,0,0,0,0,0,0,4,4,Unknown
B21,30/08/2008,Korzai,South Waziristan,4,5,0,0,0,0,4,4,Unknown
B22,30/08/2008,Miram Shah,North Waziristan,6,11,2,9,1,4,2,8,Unknown
B23,02/09/2008,Unknown,North Waziristan,0,10,0,0,0,0,0,1,Unknown
B24,04/09/2008,Mohammad Khel,North Waziristan,5,7,0,0,0,0,3,4,Unknown
B25,05/09/2008,Gurwak,North Waziristan,5,12,5,7,3,4,0,0,Unknown
B26,08/09/2008,Miram Shah,North Waziristan,17,23,11,20,5,8,14,25,Unknown
B27,12/09/2008,Tol Khel,North Waziristan,12,15,3,5,2,2,14,14,Unknown
B28,17/09/2008,Baghar Cheena,South Waziristan,4,7,0,0,0,0,3,3,Unknown
B29,30/09/2008,Khushali,South Waziristan,4,8,0,0,0,0,5,9,Unknown
B30,03/10/2008,Datta Khel,North Waziristan,3,3,3,3,1,1,5,5,Unknown
B31,03/10/2008,Datta Khel,North Waziristan,17,21,7,14,3,3,0,0,Unknown
B32,09/10/2008,Tati,North Waziristan,5,9,1,9,1,4,2,2,Unknown
B33,11/10/2008,Miram Shah,North Waziristan,4,5,0,0,0,0,2,2,Unknown
B34,16/10/2008,Taparghai,South Waziristan,2,9,0,4,0,0,1,7,Unknown
B35,23/10/2008,Danda Darpakhel,North Waziristan,8,11,7,10,7,7,6,11,Unknown
B36,26/10/2008,Mandata,South Waziristan,18,20,0,4,0,3,2,2,Unknown
B37,31/10/2008,Asori,North Waziristan,4,25,1,20,0,0,0,0,Unknown
B38,31/10/2008,Kari Kot,South Waziristan,4,12,1,1,0,0,2,30,Unknown
B39,07/11/2008,Kumsham,North Waziristan,11,16,6,11,0,0,17,17,Unknown
B40,14/11/2008,Garyom,North Waziristan,11,13,3,12,0,0,2,2,Unknown
B41,19/11/2008,Jani Khel,Bannu Frontier Region,3,6,0,3,0,0,7,7,Unknown
B42,22/11/2008,Ali Khel,North Waziristan,4,6,0,1,0,0,6,6,Unknown
B43,27/11/2008,Wana,South Waziristan,5,5,0,0,0,0,0,0,Unknown
B44,29/11/2008,Chashma,North Waziristan,2,3,0,3,0,0,2,3,Unknown
B45,05/12/2008,Kateera,North Waziristan,3,4,0,0,0,0,2,2,Unknown
B46,11/12/2008,Azam Warsak,South Waziristan,6,7,0,7,0,0,0,0,Unknown
B47,15/12/2008,Tapi Tool,North Waziristan,2,3,0,3,0,0,3,3,Unknown
B48,22/12/2008,Kari Kot,South Waziristan,3,3,0,0,0,0,5,5,Unknown
B49,22/12/2008,Shin Warsak,South Waziristan,2,4,0,0,0,0,4,4,Unknown
B50,01/01/2009,Kari Kot,South Waziristan,3,5,0,0,0,0,1,2,Unknown
B51,02/01/2009,Madin Village,South Waziristan,3,4,0,0,0,0,3,5,Unknown
Ob1,23/01/2009,Zharki,North Waziristan,7,15,9,11,1,1,1,1,Unknown
Ob2,23/01/2009,Ganki Khel,South Waziristan,5,10,5,10,3,4,2,2,Unknown
Ob3,14/02/2009,Narsi Khel,South Waziristan,25,35,1,9,1,1,11,15,Unknown
Ob4,16/02/2009,Sur Pul,Kurram Agency,18,31,0,0,0,0,3,7,Unknown
Ob5,01/03/2009,Sararogha,South Waziristan,3,12,0,0,0,0,1,3,Unknown
Ob6,12/03/2009,Barjo,Kurram Agency,14,26,0,0,0,0,9,50,Unknown
Ob7,15/03/2009,Jani Khel,Bannu Frontier Region,2,6,0,0,0,0,3,3,Unknown
