Strike ID,Date,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Adm_2,Adm_3
SOM001,07/01/2007,Ras Kamboni,8,10,2,2,0,1,1,3,Unknown,Unknown
SOM002,09/01/2007,"Hayo, Garer, Bankajirow and Badmadow, Ras Kamboni",5,10,0,0,0,0,4,5,Unknown,Unknown
SOM003,09/01/2007,Hayo,4,31,4,31,0,1,0,0,Unknown,Unknown
SOM004,23/01/2007,Waldena,8,8,0,0,0,0,0,0,Unknown,Unknown
SOM005,01/06/2007,Bargal,8,12,0,0,0,0,0,0,Unknown,Unknown
SOM006,03/03/2008,Dhobley,0,6,0,4,0,0,3,8,Unknown,Unknown
SOM007,01/05/2008,Dusa Marreb,8,15,5,10,0,0,0,0,Unknown,Unknown
SOM008,14/09/2009,Barawe,2,6,0,0,0,0,2,2,Unknown,Unknown
SOM009,03/04/2011,Dhobley,1,36,0,0,0,0,0,0,Unknown,Unknown
SOM010,23/06/2011,Kismayo,2,2,0,0,0,0,2,3,Unknown,Unknown
SOM011,06/07/2011,Juba,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM012,25/09/2011,Kismayo,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM013,14/11/2011,Afgoye,0,2,0,0,0,0,0,0,Unknown,Unknown
SOM014,21/01/2012,Elasha Biyaha,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM015,24/02/2012,Lower Shabelle,3,7,0,1,0,0,0,0,Unknown,Unknown
SOM016,17/04/2012,"Gumh, Puntland",0,0,0,0,0,0,2,2,Unknown,Unknown
SOM017,05/10/2013,"Barawe, Shabeellaha Hoose",1,7,0,0,0,0,1,1,Unknown,Unknown
SOM018,28/10/2013,"Jillib, Middle Juba",2,3,0,0,0,0,0,0,Unknown,Unknown
SOM019,26/01/2014,"Hawai, Lower Shabelle",2,9,0,2,0,2,0,1,Unknown,Unknown
SOM020,01/08/2014,"Barawe, Lower Shabelle",6,6,0,0,0,0,0,0,Unknown,Unknown
SOM021,29/12/2014,Saakow,2,3,0,0,0,0,0,0,Unknown,Unknown
SOM022,31/01/2015,"Dugule, Lower Shabelle",40,60,0,0,0,0,0,0,Unknown,Unknown
SOM023,31/01/2015,"Dinsoor, Bay Region",2,9,0,4,0,0,0,4,Unknown,Unknown
SOM024,12/03/2015,"Abaq Xaluul village, Baardheere, Gedo region",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM025,15/07/2015,"Baardheere, Gedo Region",2,3,0,0,0,0,0,0,Unknown,Unknown
SOM026,15/07/2015,"Baardheere, Gedo Region",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM027,21/11/2015,"Balad Amin, Lower Shabelle",5,10,0,0,0,0,0,0,Unknown,Unknown
SOM028,29/11/2015,"Yasooman, Ceeldheer and Ceel Lahelay villages, Hiraan region",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM029,02/12/2015,"Kunyo-Barow, Lower Shabelle",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM030,21/12/2015,"Kuntuwarey district, Lower Shabelle",5,5,0,0,0,0,0,0,Unknown,Unknown
SOM031,05/03/2016,"Raso Camp, Hiraaan",150,200,0,0,0,0,0,0,Unknown,Unknown
SOM032,08/03/2016,"Awdhegle, Lower Shabelle",19,19,0,0,0,0,0,0,Unknown,Unknown
SOM033,31/03/2016,"Jillib, Middle Juba",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM034,01/04/2016,Unknown,0,22,0,0,0,0,0,0,Unknown,Unknown
SOM035,02/04/2016,Unknown,6,6,0,0,0,0,0,0,Unknown,Unknown
SOM036,06/04/2016,"Jillib, Middle Juba",8,8,0,0,0,0,0,0,Unknown,Unknown
SOM037,11/04/2016,Lower Juba,8,12,3,3,0,0,0,0,Unknown,Unknown
SOM038,12/05/2016,"Afgoye, Lower Shabelle",5,5,0,0,0,0,0,0,Unknown,Unknown
SOM039,27/05/2016,South-central Somalia,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM040,21/06/2016,Southern Somalia,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM041,30/08/2016,Near Gobanale,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM042,05/09/2016,Tortoroow,4,4,0,0,0,0,0,0,Unknown,Unknown
SOM043,26/09/2016,"Caba, near Kismayo",4,4,0,0,0,0,0,0,Unknown,Unknown
SOM044,28/09/2016,"Galcayo, Galmudug ",10,22,0,2,0,0,3,16,Unknown,Unknown
SOM045,07/01/2017,Gaduug,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM046,04/05/2017,"Dar es Salam village, Lower Shabelle",4,9,0,0,0,0,0,0,Unknown,Unknown
SOM047,11/06/2017,"Sakow, Middle Juba region",8,8,0,0,0,0,0,0,Unknown,Unknown
SOM048,02/07/2017,"Kunyo Barrow, Lower Shabelle",1,1,0,0,0,0,0,0,Unknown,Unknown
SOM049,04/07/2017,"Luglaw, Jubba region",10,13,0,0,0,0,10,10,Unknown,Unknown
SOM050,13/07/2017,"Kunyo Barrow, Lower Shabelle",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM051,15/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM052,20/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM053,21/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM054,28/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM055,29/07/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM056,29/07/2017,"Tortoroow, Lower Shabelle",1,1,0,0,0,0,0,0,Unknown,Unknown
SOM057,10/08/2017,Banadiir region,0,1,0,0,0,0,0,0,Unknown,Unknown
SOM058,16/08/2017,"Jillib, Middle Juba",7,7,0,7,0,0,0,0,Unknown,Unknown
SOM059,25/08/2017,"Bariire, Lower Shabelle region",0,10,0,10,0,3,0,0,Unknown,Unknown
SOM060,31/08/2017,"Barawe, Lower Shabelle",1,1,0,0,0,0,1,1,Unknown,Unknown
SOM061,05/09/2017,Bay region,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM062,07/09/2017,"Barawe, Lower Shabelle",1,1,0,0,0,0,0,0,Unknown,Unknown
SOM063,13/09/2017,Southern Somalia,6,6,0,0,0,0,0,0,Unknown,Unknown
SOM064,30/09/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM065,02/10/2017,Southern Somalia,0,0,0,0,0,0,0,0,Unknown,Unknown
SOM066,16/10/2017,"Bariire, Lower Shabelle region",0,5,0,2,0,0,0,8,Unknown,Unknown
SOM067,03/11/2017,"Qandala town, Puntland",3,20,0,0,0,0,0,0,Unknown,Unknown
SOM068,09/11/2017,Bay region,3,3,0,0,0,0,0,0,Unknown,Unknown
SOM069,10/11/2017,"Basra village, Lower Shabelle ",13,13,0,3,0,0,0,0,Unknown,Unknown
SOM070,11/11/2017,Gaduud,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM071,12/11/2017,Lower Shabelle,3,3,0,3,0,0,0,0,Unknown,Unknown
SOM072,12/11/2017,Puntland,23,23,0,0,0,0,0,0,Unknown,Unknown
SOM073,13/11/2017,"Awhiigle, Gaduud",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM074,14/11/2017,"Idow Jalad, Lower Shabelle",6,6,0,0,0,0,0,0,Unknown,Unknown
SOM075,21/11/2017,Bay region,100,100,0,0,0,0,0,0,Unknown,Unknown
SOM076,27/11/2017,Northeastern,1,1,0,0,0,0,0,0,Unknown,Unknown
SOM077,12/12/2017,"Mubarak, Lower Shabelle",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM078,15/12/2017,30 miles northwest of Kismayo,8,8,0,0,0,0,0,0,Unknown,Unknown
SOM079,24/12/2017,Southern Somalia,13,13,0,0,0,0,0,0,Unknown,Unknown
SOM080,27/12/2017,25 kilometers west of Mogadishu,4,4,0,0,0,0,0,0,Unknown,Unknown
SOM081,02/01/2018,50 kilometers west of Mogadishu,2,2,0,0,0,0,0,0,Unknown,Unknown
SOM082,18/01/2018,51 kilometers northwest of Kismayo,4,4,0,0,0,0,0,0,Unknown,Unknown
SOM083,18/01/2018,Middle Shabelle region,0,5,0,0,0,5,0,6,Unknown,Unknown
SOM084,06/02/2018,"Kunyo Barrow, Lower Shabelle",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM085,19/02/2018,"Jilib, Middle Juba Region",3,3,0,0,0,0,0,0,Unknown,Unknown
SOM086,21/02/2018,"Jamaame, Lower Juba region",4,5,0,2,0,0,0,0,Unknown,Unknown
SOM087,26/02/2018,"Jilib, Middle Juba Region",2,2,0,0,0,0,1,1,Unknown,Unknown
SOM088,12/03/2018,"Kamsuuma, Lower Juba region",0,0,0,0,0,0,0,0,Unknown,Unknown
SOM089,13/03/2018,"Jamecco, Middle Shabelle",12,12,0,0,0,0,15,15,Unknown,Unknown
SOM090,19/03/2018,"Mubarak, Lower Shabelle",2,2,0,0,0,0,3,3,Unknown,Unknown
SOM091,01/04/2018,"El Burr, Galmudug",6,6,2,2,1,1,0,0,Unknown,Unknown
SOM092,05/04/2018,"Jilib, Middle Juba Region",3,3,0,0,0,0,0,0,Unknown,Unknown
