Strike ID,Date,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,Adm_3
YEM001,03/11/2002,Unknown,Marib,6,6,0,0,0,0,0,0,Unknown
YEM002,17/12/2009,Al Majala,Abyan,55,58,44,44,21,22,9,9,Unknown
YEM003,17/12/2009,Arhab,Sanaa,0,0,0,0,0,0,0,0,Unknown
YEM004,24/12/2009,Rafd,Shabwa,30,34,0,0,0,0,0,0,Unknown
YEM005,12/01/2010,Unknown,Shabwa,1,2,0,0,0,0,0,0,Unknown
YEM006,15/01/2010,Al Ajashir,Saada,0,6,0,0,0,0,0,0,Unknown
YEM007,20/01/2010,Erq al Shawan,Marib,2,2,0,0,0,0,0,0,Unknown
YEM008,31/01/2010,Unknown,Across Yemen,0,0,0,0,0,0,0,0,Unknown
YEM009,14/03/2010,"Jeezat al Qotn
Moudia district",Abyan,2,3,0,0,0,0,0,0,Unknown
YEM010,15/03/2010,Moudia,Abyan,7,20,0,20,0,0,0,0,Unknown
YEM011,24/05/2010,Unknown,Marib,3,4,3,4,0,0,2,3,Unknown
YEM012,05/05/2011,Unknown,Shabwa,2,2,0,0,0,0,0,0,Unknown
YEM013,03/06/2011,Zinjibar,Abyan,7,7,4,4,0,0,0,0,Unknown
YEM014,10/06/2011,Zinjibar,Abyan,1,1,0,0,0,0,0,0,Unknown
YEM015,10/06/2011,Raia,Abyan,2,3,2,3,1,1,0,1,Unknown
YEM016,18/06/2011,Jaar,Abyan,0,0,0,0,0,0,6,6,Unknown
YEM017,14/07/2011,"Wadeea district
Mudiya",Abyan,6,50,30,30,0,0,0,0,Unknown
YEM018,14/07/2011,Unknown,Abyan,0,0,0,0,0,0,0,0,Unknown
YEM019,27/07/2011,"Karadeef
Zinjibar",Abyan,5,5,0,0,0,0,0,0,Unknown
YEM020,01/08/2011,Al Khamila,Abyan,13,16,0,0,0,0,12,17,Unknown
YEM021,24/08/2011,Zinjibar,Abyan,30,30,0,0,0,0,40,40,Unknown
