Strike ID,Date,Loc,Adm_3,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
B1,17/06/2004,unclear,Wana,South Waziristan,Khyber Pakhtunkhwa,6,8,2,2,2,2,1,1
B2,08/05/2005,Toorikhel,unclear,North Waziristan,Khyber Pakhtunkhwa,2,2,0,0,0,0,0,0
B3,05/11/2005,Mosaki,unclear,North Waziristan,Khyber Pakhtunkhwa,8,8,3,8,2,3,1,1
B4,01/12/2005,Haisori,unclear,North Waziristan,Khyber Pakhtunkhwa,6,6,2,3,2,2,0,0
B5,13/01/2006,Damadola,unclear,Bajaur,Khyber Pakhtunkhwa,13,22,10,18,5,6,0,0
B6,30/10/2006,unclear,Chengai,Bajaur,Khyber Pakhtunkhwa,81,83,80,82,68,70,3,3
B7,16/01/2007,Zamazola,unclear,South Waziristan,Khyber Pakhtunkhwa,8,8,8,8,1,1,0,0
B8,27/04/2007,Saidgai,unclear,North Waziristan,Khyber Pakhtunkhwa,3,4,3,4,0,0,3,9
B9,19/06/2007,Mami Rogha,unclear,North Waziristan,Khyber Pakhtunkhwa,20,34,0,34,0,0,10,15
B10,02/11/2007,Danda Darpakhel,unclear,North Waziristan,Khyber Pakhtunkhwa,5,10,0,0,0,0,6,12
B11,03/12/2007,Jani Khel,unclear,Bannu,Khyber Pakhtunkhwa,0,0,0,0,0,0,1,1
B12,29/01/2008,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,12,15,4,6,2,3,1,2
B13,28/02/2008,Azam Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,10,13,0,0,0,0,6,16
B14,16/03/2008,Dhook Pir Bagh,unclear,South Waziristan,Khyber Pakhtunkhwa,18,20,0,4,0,0,5,9
B15,14/05/2008,Damadola,unclear,Bajaur,Khyber Pakhtunkhwa,12,20,4,6,1,4,9,9
B16,14/06/2008,unclear,Makin,South Waziristan,Khyber Pakhtunkhwa,1,1,0,1,0,0,0,0
B17,28/07/2008,Zeralita,unclear,South Waziristan,Khyber Pakhtunkhwa,7,12,1,5,0,2,3,3
B18,12/08/2008,Bhaggar,unclear,South Waziristan,Khyber Pakhtunkhwa,12,25,0,5,0,0,0,4
B19,20/08/2008,Zari Noor,unclear,South Waziristan,Khyber Pakhtunkhwa,6,12,0,0,0,0,5,5
B20,27/08/2008,Ganki Khel,unclear,South Waziristan,Khyber Pakhtunkhwa,0,0,0,0,0,0,4,4
B21,30/08/2008,Korzai,unclear,South Waziristan,Khyber Pakhtunkhwa,4,5,0,0,0,0,4,4
