Strike ID,Date,Adm_1,Adm_2,Loc,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
SOM001,07/01/2007,Jubbada Hoose,Badhaadhe,Ras Kamboni,8,10,2,2,0,1,1,3
SOM002,09/01/2007,unclear,unclear,Unknown,5,10,0,0,0,0,4,5
SOM003,09/01/2007,unclear,unclear,Unknown,4,31,4,31,0,1,0,0
SOM004,23/01/2007,unclear,unclear,Unknown,8,8,0,0,0,0,0,0
SOM005,01/06/2007,Bari,ISKUSHUBAN,Bargal,8,12,0,0,0,0,0,0
SOM006,03/03/2008,unclear,unclear,Unknown,0,6,0,4,0,0,3,8
SOM007,01/05/2008,Galguduud,Dusa Marreb,Unknown,8,15,5,10,0,0,0,0
SOM008,14/09/2009,Shabeellaha Hoose,Barawe,Unknown,2,6,0,0,0,0,2,2
SOM009,03/04/2011,unclear,unclear,Unknown,1,36,0,0,0,0,0,0
SOM010,23/06/2011,Jubbada Hoose,Kismayo,Unknown,2,2,0,0,0,0,2,3
SOM011,06/07/2011,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM012,25/09/2011,Jubbada Hoose,Kismayo,Unknown,0,0,0,0,0,0,0,0
SOM013,14/11/2011,unclear,unclear,Unknown,0,2,0,0,0,0,0,0
SOM014,21/01/2012,unclear,unclear,Unknown,1,1,0,0,0,0,0,0
SOM015,24/02/2012,Shabeellaha Hoose,unclear,unclear,3,7,0,1,0,0,0,0
SOM016,17/04/2012,Puntland,unclear,Unknown,0,0,0,0,0,0,2,2
SOM017,05/10/2013,Shabeellaha Hoose,Barawe,Unknown,1,7,0,0,0,0,1,1
SOM018,28/10/2013,Jubbada Dhexe,Jillib,Unknown,2,3,0,0,0,0,0,0
SOM019,26/01/2014,Shabeellaha Hoose,unclear,unclear,2,9,0,2,0,2,0,1
SOM020,01/08/2014,Shabeellaha Hoose,Barawe,Unknown,6,6,0,0,0,0,0,0
SOM021,29/12/2014,Jubbada Dhexe,Saakow,Unknown,2,3,0,0,0,0,0,0
SOM022,31/01/2015,Shabeellaha Hoose,unclear,Dugule,40,60,0,0,0,0,0,0
SOM023,31/01/2015,Bay,Dinsoor,unclear,2,9,0,4,0,0,0,4
SOM024,12/03/2015,Gedo,Baardheere,Unknown,3,3,0,0,0,0,0,0
SOM025,15/07/2015,Gedo,Baardheere,Unknown,2,3,0,0,0,0,0,0
SOM026,15/07/2015,Gedo,Baardheere,Unknown,0,0,0,0,0,0,0,0
SOM027,21/11/2015,Shabeellaha Hoose,Wanlaweyn,Balcad,5,10,0,0,0,0,0,0
SOM028,29/11/2015,Hiiraan,multiple,Unknown,0,0,0,0,0,0,0,0
SOM029,02/12/2015,Jubbada Dhexe,Jilib,Qunyo Barrow,3,3,0,0,0,0,0,0
SOM030,21/12/2015,Shabeellaha Hoose,Kurtunwaarey,Unknown,5,5,0,0,0,0,0,0
SOM031,05/03/2016,Hiiraan,unclear,Raso,150,200,0,0,0,0,0,0
SOM032,08/03/2016,Shabeellaha Hoose,Afgooye,Awdheegle,19,19,0,0,0,0,0,0
SOM033,31/03/2016,Jubbada Dhexe,Jillib,Unknown,3,3,0,0,0,0,0,0
SOM034,01/04/2016,unclear,unclear,Unknown,0,22,0,0,0,0,0,0
SOM035,02/04/2016,unclear,unclear,Unknown,6,6,0,0,0,0,0,0
SOM036,06/04/2016,Jubbada Dhexe,Jillib,Unknown,8,8,0,0,0,0,0,0
SOM037,11/04/2016,Jubbada Hoose,unclear,unclear,8,12,3,3,0,0,0,0
SOM038,12/05/2016,Shabeellaha Hoose,Afgooye,Unknown,5,5,0,0,0,0,0,0
SOM039,27/05/2016,unclear,unclear,Unknown,1,1,0,0,0,0,0,0
SOM040,21/06/2016,unclear,unclear,Unknown,3,3,0,0,0,0,0,0
SOM041,30/08/2016,Shabeellaha Hoose,Wanlaweyn,Gobanle,2,2,0,0,0,0,0,0
SOM042,05/09/2016,Shabeellaha Hoose,Wanlaweyn,Tortoroow,4,4,0,0,0,0,0,0
SOM043,26/09/2016,Jubbada Hoose,unclear,Unknown,4,4,0,0,0,0,0,0
SOM044,28/09/2016,Mudug,Galcaio,Unknown,10,22,0,2,0,0,3,16
SOM045,07/01/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM046,04/05/2017,Shabeellaha Hoose,unclear,Dar es Salaam,4,9,0,0,0,0,0,0
SOM047,11/06/2017,Jubbada Dhexe,Saakow,Unknown,8,8,0,0,0,0,0,0
SOM048,02/07/2017,Jubbada Dhexe,Jilib,Qunyo Barrow,1,1,0,0,0,0,0,0
SOM049,04/07/2017,Jubbada Hoose,Kismayo,Luglaaw,10,13,0,0,0,0,10,10
SOM050,13/07/2017,Jubbada Dhexe,Jilib,Qunyo Barrow,0,0,0,0,0,0,0,0
SOM051,15/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM052,20/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM053,21/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM054,28/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM055,29/07/2017,unclear,unclear,Unknown,0,0,0,0,0,0,0,0
SOM056,29/07/2017,Shabeellaha Hoose,Wanlaweyn,Tortoroow,1,1,0,0,0,0,0,0
SOM057,10/08/2017,Banadiir,unclear,Unknown,0,1,0,0,0,0,0,0
SOM058,16/08/2017,Jubbada Dhexe,Jillib,Unknown,7,7,0,7,0,0,0,0
SOM059,25/08/2017,Shabeellaha Hoose,Afgooye,Bariire,0,10,0,10,0,3,0,0
SOM060,31/08/2017,Shabeellaha Hoose,Barawe,Unknown,1,1,0,0,0,0,1,1
SOM061,05/09/2017,Bay,unclear,unclear,3,3,0,0,0,0,0,0
