Strike ID,Date,Loc,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured
YEM001,03/11/2002,Unknown,unclear,Marib,6,6,0,0,0,0,0,0
YEM002,17/12/2009,Al Majala,unclear,Abyan,55,58,44,44,21,22,9,9
YEM003,17/12/2009,unclear,Arhab,Sana,0,0,0,0,0,0,0,0
YEM004,24/12/2009,Rafd,unclear,Shabwah,30,34,0,0,0,0,0,0
YEM005,12/01/2010,unclear,unclear,Shabwah,1,2,0,0,0,0,0,0
YEM006,15/01/2010,Al Ajashir,unclear,Sada,0,6,0,0,0,0,0,0
YEM007,20/01/2010,Erq al Shawan,unclear,Marib,2,2,0,0,0,0,0,0
YEM008,31/01/2010,unclear,unclear,unclear,0,0,0,0,0,0,0,0
YEM009,14/03/2010,Jeezat al Qotn,MUDIYAH,Abyan,2,3,0,0,0,0,0,0
YEM010,15/03/2010,unclear,MUDIYAH,Abyan,7,20,0,20,0,0,0,0
YEM011,24/05/2010,Unknown,unclear,Marib,3,4,3,4,0,0,2,3
YEM012,05/05/2011,unclear,unclear,Shabwah,2,2,0,0,0,0,0,0
YEM013,03/06/2011,unclear,Zinjibar,Abyan,7,7,4,4,0,0,0,0
YEM014,10/06/2011,unclear,Zinjibar,Abyan,1,1,0,0,0,0,0,0
YEM015,10/06/2011,Raia,unclear,Abyan,2,3,2,3,1,1,0,1
YEM016,18/06/2011,Jaar,Khanfir,Abyan,0,0,0,0,0,0,6,6
YEM017,14/07/2011,unclear,unclear,Abyan,6,50,30,30,0,0,0,0
YEM018,14/07/2011,unclear,unclear,Abyan,0,0,0,0,0,0,0,0
YEM019,27/07/2011,Karadeef,Zinjibar,Abyan,5,5,0,0,0,0,0,0
YEM020,01/08/2011,Al Khamila,unclear,Abyan,13,16,0,0,0,0,12,17
YEM021,24/08/2011,unclear,Zinjibar,Abyan,30,30,0,0,0,0,40,40
YEM022,24/08/2011,Arkoub,unclear,Abyan,6,6,0,0,0,0,0,0
YEM023,25/08/2011,Wadi Hassan,unclear,Abyan,8,8,0,0,0,0,3,3
YEM024,31/08/2011,unclear,unclear,Abyan,30,30,0,0,0,0,0,0
YEM025,05/09/2011,Jaar,Khanfir,Abyan,3,7,3,7,0,0,4,4
YEM026,05/09/2011,Jaar,Khanfir,Abyan,9,11,1,1,1,1,2,2
YEM027,07/09/2011,unclear,Al Mahfid,Abyan,3,10,0,0,0,0,2,24
YEM028,21/09/2011,unclear,Al Mahfid,Abyan,4,4,0,0,0,0,0,0
YEM029,21/09/2011,Shaqra,unclear,Abyan,6,7,0,0,0,0,3,3
YEM030,30/09/2011,unclear,unclear,Jawf,4,4,0,0,0,0,0,0
YEM031,05/10/2011,Al Arqoub,unclear,Abyan,5,5,0,0,0,0,7,7
YEM032,14/10/2011,Azzan,unclear,Shabwah,0,0,0,0,0,0,0,0
YEM033,14/10/2011,Azzan,unclear,Shabwah,7,9,2,2,2,2,0,0
YEM034,14/10/2011,unclear,unclear,unclear,15,17,0,0,0,0,0,0
YEM035,14/10/2011,Azzan,unclear,Shabwah,2,2,1,2,1,1,0,0
YEM036,22/12/2011,unclear,Zinjibar,Abyan,1,1,0,0,0,0,0,0
YEM037,31/01/2012,unclear,LAWDAR,Abyan,10,14,0,0,0,0,0,0
YEM038,31/01/2012,unclear,unclear,Abyan,0,0,0,0,0,0,0,0
YEM039,09/03/2012,unclear,unclear,ALBAYDA,23,34,2,2,0,0,0,55
YEM040,10/03/2012,unclear,unclear,Abyan,24,24,0,0,0,0,0,0
YEM041,11/03/2012,unclear,unclear,Abyan,3,6,0,0,0,0,0,0
YEM042,13/03/2012,unclear,unclear,ALBAYDA,4,5,0,0,0,0,0,0
YEM043,18/03/2012,unclear,Zinjibar,Abyan,14,18,0,0,0,0,0,0
YEM044,18/03/2012,Jaar,Khanfir,Abyan,8,8,0,0,0,0,0,0
YEM045,22/03/2012,unclear,Zinjibar,Abyan,29,30,0,0,0,0,24,24
YEM046,30/03/2012,Azzan,unclear,Shabwah,5,5,1,1,0,0,6,9
YEM047,07/04/2012,unclear,unclear,Shabwah,0,8,0,0,0,0,0,0
YEM048,08/04/2012,unclear,unclear,Abyan,16,16,0,0,0,0,0,0
YEM049,11/04/2012,unclear,LAWDAR,Abyan,10,14,0,0,0,0,10,10
YEM050,14/04/2012,unclear,AZZAHIR,ALBAYDA,3,7,0,0,0,0,0,0
YEM051,16/04/2012,Azzan,unclear,Shabwah,5,7,0,0,0,0,0,0
YEM052,18/04/2012,unclear,unclear,Abyan,6,10,0,0,0,0,0,0
YEM053,21/04/2012,unclear,LAWDAR,Abyan,12,17,0,0,0,0,0,5
