Strike ID,Date,Loc,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_matched_sort_Adm_1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_desig_cd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,matched_sort_Adm_2,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_matched_sort_Adm_2,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_desig_cd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,matched_sort_Loc,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_matched_sort_Loc,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_desig_cd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
AFG0001,01/01/2015,unclear,Spera,Khost,0,0,0,0,0,0,0,0,KHOST,6240773.0,AF-KHO,KHOST,Khōst,Khost,ADM1,33.383334,69.883334,SPERAH,10537951.0,AF-KHO,SPERAH,Spērah,Sperah,ADM2,33.15664,69.491204,,,,,,,,,
AFG0002,03/01/2015,unclear,Giyan,Paktika,18,18,0,0,0,0,0,0,PAKTIKA,-3386222.0,AF-PKA,PAKTIKA,Paktīkā,Paktika,ADM1,32.416667,68.75,GIYAN,10537706.0,AF-PKA,GIYAN,Giyān,Giyan,ADM2,32.975159,69.399302,,,,,,,,,
AFG0003,03/01/2015,unclear,Spera,Khost,7,7,0,0,0,0,0,0,KHOST,6240773.0,AF-KHO,KHOST,Khōst,Khost,ADM1,33.383334,69.883334,SPERAH,10537951.0,AF-KHO,SPERAH,Spērah,Sperah,ADM2,33.15664,69.491204,,,,,,,,,
AFG0004,06/01/2015,unclear,Dara I Pech,Kunar,0,0,0,0,0,0,0,0,KUNAR,-3381717.0,AF-KNR,KUNAR,Kunaṟ,Kunar,ADM1,34.95,71.133333,unclear,10537891.0,AF-KNR,DARAHYEPECH,Darah-ye Pēch,Darah-ye Pech,ADM2,34.953068,70.916381,,,,,,,,,
AFG0005,07/01/2015,unclear,Unknown,Logar,3,3,0,0,0,0,0,0,LOGAR,-3382874.0,AF-LOG,LOGAR,Lōgar,Logar,ADM1,34.0,69.25,,,,,,,,,,,,,,,,,,
AFG0006,08/01/2015,Chikanawr,Lal Pura,Nangarhar,6,6,0,0,0,0,3,3,NANGARHAR,-3385101.0,AF-NAN,NANGARHAR,Nangarhār,Nangarhar,ADM1,34.33333,70.41667,LALPUR,10537204.0,AF-NAN,LALPUR,La‘lpūr,La`lpur,ADM2,34.333393,71.024591,KAN,-3378588.0,AF-NAN,KAN,Kan,Kan,PPL,34.28722,70.509399
AFG0007,11/01/2015,Chikanawr,Lal Pura,Nangarhar,8,8,0,0,0,0,3,3,NANGARHAR,-3385101.0,AF-NAN,NANGARHAR,Nangarhār,Nangarhar,ADM1,34.33333,70.41667,LALPUR,10537204.0,AF-NAN,LALPUR,La‘lpūr,La`lpur,ADM2,34.333393,71.024591,KAN,-3378588.0,AF-NAN,KAN,Kan,Kan,PPL,34.28722,70.509399
AFG0008,16/01/2015,unclear,Nazyan,Nangarhar,3,3,0,0,0,0,0,0,NANGARHAR,-3385101.0,AF-NAN,NANGARHAR,Nangarhār,Nangarhar,ADM1,34.33333,70.41667,NAZIYAN,10537206.0,AF-NAN,NAZIYAN,Nāziyān,Naziyan,ADM2,34.055907,70.825766,,,,,,,,,
AFG0009,17/01/2015,unclear,Lal Pura,Nangarhar,0,0,0,0,0,0,0,0,NANGARHAR,-3385101.0,AF-NAN,NANGARHAR,Nangarhār,Nangarhar,ADM1,34.33333,70.41667,LALPUR,10537204.0,AF-NAN,LALPUR,La‘lpūr,La`lpur,ADM2,34.333393,71.024591,,,,,,,,,
AFG0010,19/01/2015,unclear,Khugyani,Nangarhar,0,0,0,0,0,0,0,0,NANGARHAR,-3385101.0,AF-NAN,NANGARHAR,Nangarhār,Nangarhar,ADM1,34.33333,70.41667,KHUGYANI,10537201.0,AF-NAN,KHUGYANI,Khūgyāṉī,Khugyani,ADM2,34.231504,70.149404,,,,,,,,,
