Strike ID,Date,Loc,Adm_3,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_matched_sort_Adm_1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_desig_cd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,matched_sort_Adm_2,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_matched_sort_Adm_2,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_desig_cd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,matched_sort_Adm_3,matched_sort_Adm_3_ufi,matched_sort_Adm_3_adm1,matched_sort_Adm_3_matched_sort_Adm_3,matched_sort_Adm_3_full_name,matched_sort_Adm_3_full_nm_nd,matched_sort_Adm_3_desig_cd,matched_sort_Adm_3_lat_dd,matched_sort_Adm_3_long_dd,matched_sort_Loc,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_matched_sort_Loc,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_desig_cd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
B1,17/06/2004,unclear,Wana,South Waziristan,Khyber Pakhtunkhwa,6,8,2,2,2,2,1,1,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,SOUTHWAZIRISTAN,-2775090.0,PK-KP,SOUTHWAZIRISTAN,South Waziristan,South Waziristan,ADM3,32.29795,69.743452,WANA,-2777031.0,PK-KP,WANA,Wana,Wana,PPL,32.298889,69.5725,,,,,,,,,
B2,08/05/2005,Toorikhel,unclear,North Waziristan,Khyber Pakhtunkhwa,2,2,0,0,0,0,0,0,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,NORTHWAZIRISTAN,-2770669.0,PK-KP,NORTHWAZIRISTAN,North Waziristan,North Waziristan,ADM3,32.947108,69.982094,,,,,,,,,,TORIKHEL,396102.0,PK-KP,TORIKHEL,Tori Khel,Tori Khel,TRB,32.905732,70.120856
B3,05/11/2005,Mosaki,unclear,North Waziristan,Khyber Pakhtunkhwa,8,8,3,8,2,3,1,1,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,NORTHWAZIRISTAN,-2770669.0,PK-KP,NORTHWAZIRISTAN,North Waziristan,North Waziristan,ADM3,32.947108,69.982094,,,,,,,,,,MOSSAKI,251097.0,PK-KP,MOSSAKI,Mossaki,Mossaki,PPL,32.825035,70.069038
B4,01/12/2005,Haisori,unclear,North Waziristan,Khyber Pakhtunkhwa,6,6,2,3,2,2,0,0,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,NORTHWAZIRISTAN,-2770669.0,PK-KP,NORTHWAZIRISTAN,North Waziristan,North Waziristan,ADM3,32.947108,69.982094,,,,,,,,,,SOR,13553740.0,PK-KP,SOR,Sor,Sor,PPL,36.443362,72.351511
B5,13/01/2006,Damadola,unclear,Bajaur,Khyber Pakhtunkhwa,13,22,10,18,5,6,0,0,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,BAJAUR,-2755560.0,PK-KP,BAJAUR,Bajaur,Bajaur,ADM3,34.748981,71.501525,,,,,,,,,,DAMADOLA,6047564.0,PK-KP,DAMADOLA,Damadola,Damadola,PPL,34.805078,71.467834
B6,30/10/2006,unclear,Chengai,Bajaur,Khyber Pakhtunkhwa,81,83,80,82,68,70,3,3,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,BAJAUR,-2755560.0,PK-KP,BAJAUR,Bajaur,Bajaur,ADM3,34.748981,71.501525,CHENGAI,6047618.0,PK-KP,CHENGAI,Chengai,Chengai,PPL,34.840597,71.431624,,,,,,,,,
B7,16/01/2007,Zamazola,unclear,South Waziristan,Khyber Pakhtunkhwa,8,8,8,8,1,1,0,0,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,SOUTHWAZIRISTAN,-2775090.0,PK-KP,SOUTHWAZIRISTAN,South Waziristan,South Waziristan,ADM3,32.29795,69.743452,,,,,,,,,,ZAMZOLA,248256.0,PK-KP,ZAMZOLA,Zamzola,Zamzola,PPL,32.693077,70.086624
B8,27/04/2007,Saidgai,unclear,North Waziristan,Khyber Pakhtunkhwa,3,4,3,4,0,0,3,9,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,NORTHWAZIRISTAN,-2770669.0,PK-KP,NORTHWAZIRISTAN,North Waziristan,North Waziristan,ADM3,32.947108,69.982094,,,,,,,,,,SAIDGAI,6092715.0,PK-KP,SAIDGAI,Saidgai,Saidgai,PPL,35.064435,72.500926
B9,19/06/2007,Mami Rogha,unclear,North Waziristan,Khyber Pakhtunkhwa,20,34,0,34,0,0,10,15,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,NORTHWAZIRISTAN,-2770669.0,PK-KP,NORTHWAZIRISTAN,North Waziristan,North Waziristan,ADM3,32.947108,69.982094,,,,,,,,,,MAMIROGHA,-2768303.0,PK-KP,MAMIROGHA,Māmi Rogha,Mami Rogha,PPL,32.833985,69.861224
B10,02/11/2007,Danda Darpakhel,unclear,North Waziristan,Khyber Pakhtunkhwa,5,10,0,0,0,0,6,12,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,NORTHWAZIRISTAN,-2770669.0,PK-KP,NORTHWAZIRISTAN,North Waziristan,North Waziristan,ADM3,32.947108,69.982094,,,,,,,,,,DANDADARPAKHEL,12269276.0,PK-KP,DANDADARPAKHEL,Danda Darpa Khel,Danda Darpa Khel,PPL,33.02178,70.052929
B11,03/12/2007,Jani Khel,unclear,Bannu,Khyber Pakhtunkhwa,0,0,0,0,0,0,1,1,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,BANNU,-2755886.0,PK-KP,BANNU,Bannu,Bannu,ADM3,32.973939,70.621737,,,,,,,,,,JANIKHEL,-3880763.0,PK-KP,JANIKHEL,Jani Khel,Jani Khel,PPL,32.717729,69.593918
B12,29/01/2008,unclear,Mirali,North Waziristan,Khyber Pakhtunkhwa,12,15,4,6,2,3,1,2,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,NORTHWAZIRISTAN,-2770669.0,PK-KP,NORTHWAZIRISTAN,North Waziristan,North Waziristan,ADM3,32.947108,69.982094,MIRALI,-2774137.0,PK-KP,MIRALI,Mīr Ali,Mir Ali,PPL,32.697515,69.948741,,,,,,,,,
B13,28/02/2008,Azam Warsak,unclear,South Waziristan,Khyber Pakhtunkhwa,10,13,0,0,0,0,6,16,KHYBERPAKHTUNKHWA,-2770671.0,PK-KP,KHYBERPAKHTUNKHWA,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa,ADM1,33.983056,71.686111,SOUTHWAZIRISTAN,-2775090.0,PK-KP,SOUTHWAZIRISTAN,South Waziristan,South Waziristan,ADM3,32.29795,69.743452,,,,,,,,,,AZAMWARSAK,12284069.0,PK-KP,AZAMWARSAK,Azam Warsak,Azam Warsak,PPL,32.287724,69.41375
