Strike ID,Date,Adm_1,Adm_2,Loc,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_matched_sort_Adm_1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_desig_cd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,matched_sort_Adm_2,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_matched_sort_Adm_2,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_desig_cd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,matched_sort_Loc,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_matched_sort_Loc,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_desig_cd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
SOM001,07/01/2007,Jubbada Hoose,Badhaadhe,Ras Kamboni,8,10,2,2,0,1,1,3,JUBBADAHOOSE,-3224957.0,SO-JH,JUBBADAHOOSE,Jubbada Hoose,Jubbada Hoose,ADM1,0.0,42.0,BADHAADHE,-3215831.0,SO-JH,BADHAADHE,Badhaadhe,Badhaadhe,ADM2,-1.002072,41.661436,RASKAMBONI,-3218560.0,SO-JH,RASKAMBONI,Ras Kamboni,Ras Kamboni,PT,-1.641395,41.592921
SOM002,09/01/2007,unclear,unclear,Unknown,5,10,0,0,0,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM003,09/01/2007,unclear,unclear,Unknown,4,31,4,31,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM004,23/01/2007,unclear,unclear,Unknown,8,8,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM005,01/06/2007,Bari,Bargal,Unknown,8,12,0,0,0,0,0,0,BARI,-3216231.0,SO-BR,BARI,Bari,Bari,ADM1,10.0,50.0,unclear,,,,,,,,,,,,,,,,,
SOM006,03/03/2008,unclear,unclear,Unknown,0,6,0,4,0,0,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM007,01/05/2008,Galguduud,Dusa Marreb,Unknown,8,15,5,10,0,0,0,0,GALGUDUUD,-3221647.0,SO-GA,GALGUDUUD,Galguduud,Galguduud,ADM1,5.0,47.0,unclear,,,,,,,,,,,,,,,,,
SOM008,14/09/2009,Shabeellaha Hoose,Barawe,Unknown,2,6,0,0,0,0,2,2,SHABEELLAHAHOOSE,-3229137.0,SO-SH,SHABEELLAHAHOOSE,Shabeellaha Hoose,Shabeellaha Hoose,ADM1,1.83333,44.41667,unclear,,,,,,,,,,,,,,,,,
SOM009,03/04/2011,unclear,unclear,Unknown,1,36,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM010,23/06/2011,Jubbada Hoose,Kismayo,Unknown,2,2,0,0,0,0,2,3,JUBBADAHOOSE,-3224957.0,SO-JH,JUBBADAHOOSE,Jubbada Hoose,Jubbada Hoose,ADM1,0.0,42.0,unclear,,,,,,,,,,,,,,,,,
