Strike ID,Date,Loc,Adm_2,Adm_1,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_1,matched_sort_Adm_1_ufi,matched_sort_Adm_1_adm1,matched_sort_Adm_1_matched_sort_Adm_1,matched_sort_Adm_1_full_name,matched_sort_Adm_1_full_nm_nd,matched_sort_Adm_1_desig_cd,matched_sort_Adm_1_lat_dd,matched_sort_Adm_1_long_dd,matched_sort_Adm_2,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_matched_sort_Adm_2,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_desig_cd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,matched_sort_Loc,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_matched_sort_Loc,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_desig_cd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
YEM001,03/11/2002,Unknown,unclear,Marib,6,6,0,0,0,0,0,0,MARIB,-3189596.0,YE-MA,MARIB,Ma’rib,Ma'rib,ADM1,15.416667,45.35,,,,,,,,,,,,,,,,,,
YEM002,17/12/2009,Al Majala,unclear,Abyan,55,58,44,44,21,22,9,9,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,ALMAJALAH,-3183515.0,YE-AB,ALMAJALAH,Al Ma‘jalah,Al Ma`jalah,PPL,13.97526,46.458454
YEM003,17/12/2009,unclear,Arhab,Sana,0,0,0,0,0,0,0,0,SANA,-3191447.0,YE-SN,SANA,Şan‘ā’,San`a',ADM1,15.260691,44.424895,ARHAB,10618730.0,YE-SN,ARHAB,Arḩab,Arhab,ADM2,15.790939,44.246602,,,,,,,,,
YEM004,24/12/2009,Rafd,unclear,Shabwah,30,34,0,0,0,0,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,unclear,,,,,,,,
YEM005,12/01/2010,unclear,unclear,Shabwah,1,2,0,0,0,0,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,,,,,,,,,
YEM006,15/01/2010,Al Ajashir,unclear,Sada,0,6,0,0,0,0,0,0,SADAH,-3191246.0,YE-SD,SADAH,Şa‘dah,Sa`dah,ADM1,17.063405,43.914884,,,,,,,,,,ALAJASHIR,-3091208.0,YE-SD,ALAJASHIR,Al Ajāshir,Al Ajashir,HLLS,17.183333,44.8
YEM007,20/01/2010,Erq al Shawan,unclear,Marib,2,2,0,0,0,0,0,0,MARIB,-3189596.0,YE-MA,MARIB,Ma’rib,Ma'rib,ADM1,15.416667,45.35,,,,,,,,,,IRQALSHABWAN,10642648.0,YE-MA,IRQALSHABWAN,‘Irq Āl Shabwān,`Irq Al Shabwan,PPL,15.514789,45.370144
YEM008,31/01/2010,unclear,unclear,unclear,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM009,14/03/2010,Jeezat al Qotn,MUDIYAH,Abyan,2,3,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,MUDIYAH,10618524.0,YE-AB,MUDIYAH,Mūdīyah,Mudiyah,ADM2,13.885422,46.219647,unclear,,,,,,,,
YEM010,15/03/2010,unclear,MUDIYAH,Abyan,7,20,0,20,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,MUDIYAH,10618524.0,YE-AB,MUDIYAH,Mūdīyah,Mudiyah,ADM2,13.885422,46.219647,,,,,,,,,
YEM011,24/05/2010,Unknown,unclear,Marib,3,4,3,4,0,0,2,3,MARIB,-3189596.0,YE-MA,MARIB,Ma’rib,Ma'rib,ADM1,15.416667,45.35,,,,,,,,,,,,,,,,,,
YEM012,05/05/2011,unclear,unclear,Shabwah,2,2,0,0,0,0,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,,,,,,,,,
YEM013,03/06/2011,unclear,Zinjibar,Abyan,7,7,4,4,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ZINJIBAR,10618573.0,YE-AB,ZINJIBAR,Zinjibār,Zinjibar,ADM2,13.140857,45.430399,,,,,,,,,
YEM014,10/06/2011,unclear,Zinjibar,Abyan,1,1,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ZINJIBAR,10618573.0,YE-AB,ZINJIBAR,Zinjibār,Zinjibar,ADM2,13.140857,45.430399,,,,,,,,,
YEM015,10/06/2011,Raia,unclear,Abyan,2,3,2,3,1,1,0,1,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,unclear,,,,,,,,
YEM016,18/06/2011,Jaar,Khanfir,Abyan,0,0,0,0,0,0,6,6,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM017,14/07/2011,unclear,unclear,Abyan,6,50,30,30,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,,,,,,,,,
YEM018,14/07/2011,unclear,unclear,Abyan,0,0,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,,,,,,,,,
YEM019,27/07/2011,Karadeef,Zinjibar,Abyan,5,5,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ZINJIBAR,10618573.0,YE-AB,ZINJIBAR,Zinjibār,Zinjibar,ADM2,13.140857,45.430399,unclear,,,,,,,,
YEM020,01/08/2011,Al Khamila,unclear,Abyan,13,16,0,0,0,0,12,17,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,ALKHAMILA,-3183325.0,YE-AB,ALKHAMILA,Al Khamila,Al Khamila,PPL,13.124444,45.313889
YEM021,24/08/2011,unclear,Zinjibar,Abyan,30,30,0,0,0,0,40,40,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ZINJIBAR,10618573.0,YE-AB,ZINJIBAR,Zinjibār,Zinjibar,ADM2,13.140857,45.430399,,,,,,,,,
YEM022,24/08/2011,Arkoub,unclear,Abyan,6,6,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,unclear,,,,,,,,
YEM023,25/08/2011,Wadi Hassan,unclear,Abyan,8,8,0,0,0,0,3,3,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,WADIHASSAN,-3187494.0,YE-AB,WADIHASSAN,Wādī Ḩassān,Wadi Hassan,WAD,13.136621,45.454545
YEM024,31/08/2011,unclear,unclear,Abyan,30,30,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,,,,,,,,,
YEM025,05/09/2011,Jaar,Khanfir,Abyan,3,7,3,7,0,0,4,4,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM026,05/09/2011,Jaar,Khanfir,Abyan,9,11,1,1,1,1,2,2,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM027,07/09/2011,unclear,Al Mahfid,Abyan,3,10,0,0,0,0,2,24,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ALMAHFID,10618515.0,YE-AB,ALMAHFID,Al Maḩfid,Al Mahfid,ADM2,14.01847,46.755958,,,,,,,,,
YEM028,21/09/2011,unclear,Al Mahfid,Abyan,4,4,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ALMAHFID,10618515.0,YE-AB,ALMAHFID,Al Maḩfid,Al Mahfid,ADM2,14.01847,46.755958,,,,,,,,,
YEM029,21/09/2011,Shaqra,unclear,Abyan,6,7,0,0,0,0,3,3,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,SHAQRA,-3191747.0,YE-AB,SHAQRA,Shaqrā’,Shaqra',PPL,13.35677,45.697085
YEM030,30/09/2011,unclear,unclear,Jawf,4,4,0,0,0,0,0,0,ALJAWF,-3188323.0,YE-JA,ALJAWF,Al Jawf,Al Jawf,ADM1,16.689733,45.611556,,,,,,,,,,,,,,,,,,
YEM031,05/10/2011,Al Arqoub,unclear,Abyan,5,5,0,0,0,0,7,7,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,unclear,,,,,,,,
YEM032,14/10/2011,Azzan,unclear,Shabwah,0,0,0,0,0,0,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,AZZAN,-3184987.0,YE-SH,AZZAN,‘Azzān,`Azzan,PPL,14.327047,47.448578
YEM033,14/10/2011,Azzan,unclear,Shabwah,7,9,2,2,2,2,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,AZZAN,-3184987.0,YE-SH,AZZAN,‘Azzān,`Azzan,PPL,14.327047,47.448578
YEM034,14/10/2011,unclear,unclear,unclear,15,17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM035,14/10/2011,Azzan,unclear,Shabwah,2,2,1,2,1,1,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,AZZAN,-3184987.0,YE-SH,AZZAN,‘Azzān,`Azzan,PPL,14.327047,47.448578
YEM036,22/12/2011,unclear,Zinjibar,Abyan,1,1,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ZINJIBAR,10618573.0,YE-AB,ZINJIBAR,Zinjibār,Zinjibar,ADM2,13.140857,45.430399,,,,,,,,,
YEM037,31/01/2012,unclear,LAWDAR,Abyan,10,14,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,LAWDAR,10618528.0,YE-AB,LAWDAR,Lawdar,Lawdar,ADM2,13.709611,45.800769,,,,,,,,,
YEM038,31/01/2012,unclear,unclear,Abyan,0,0,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,,,,,,,,,
YEM039,09/03/2012,unclear,unclear,ALBAYDA,23,34,2,2,0,0,0,55,ALBAYDA,-3182650.0,YE-BA,ALBAYDA,Al Bayḑā’,Al Bayda',ADM1,14.34166,45.394422,,,,,,,,,,,,,,,,,,
YEM040,10/03/2012,unclear,unclear,Abyan,24,24,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,,,,,,,,,
YEM041,11/03/2012,unclear,unclear,Abyan,3,6,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,,,,,,,,,
YEM042,13/03/2012,unclear,unclear,ALBAYDA,4,5,0,0,0,0,0,0,ALBAYDA,-3182650.0,YE-BA,ALBAYDA,Al Bayḑā’,Al Bayda',ADM1,14.34166,45.394422,,,,,,,,,,,,,,,,,,
YEM043,18/03/2012,unclear,Zinjibar,Abyan,14,18,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ZINJIBAR,10618573.0,YE-AB,ZINJIBAR,Zinjibār,Zinjibar,ADM2,13.140857,45.430399,,,,,,,,,
YEM044,18/03/2012,Jaar,Khanfir,Abyan,8,8,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,KHANFIR,10618532.0,YE-AB,KHANFIR,Khanfir,Khanfir,ADM2,13.447814,45.733642,JAAR,-3188174.0,YE-AB,JAAR,Ja‘ār,Ja`ar,PPLA2,13.223003,45.305585
YEM045,22/03/2012,unclear,Zinjibar,Abyan,29,30,0,0,0,0,24,24,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,ZINJIBAR,10618573.0,YE-AB,ZINJIBAR,Zinjibār,Zinjibar,ADM2,13.140857,45.430399,,,,,,,,,
YEM046,30/03/2012,Azzan,unclear,Shabwah,5,5,1,1,0,0,6,9,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,AZZAN,-3184987.0,YE-SH,AZZAN,‘Azzān,`Azzan,PPL,14.327047,47.448578
YEM047,07/04/2012,unclear,unclear,Shabwah,0,8,0,0,0,0,0,0,SHABWAH,-3191647.0,YE-SH,SHABWAH,Shabwah,Shabwah,ADM1,15.0,47.0,,,,,,,,,,,,,,,,,,
YEM048,08/04/2012,unclear,unclear,Abyan,16,16,0,0,0,0,0,0,ABYAN,-3182060.0,YE-AB,ABYAN,Abyan,Abyan,ADM1,13.786202,46.141766,,,,,,,,,,,,,,,,,,
