matched_sort_Adm_2,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd
ABBAND,2,"['18/05/2016', '03/07/2016']","[1, 12]","[1, 12]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",10536862.0,AF-GHA,Āb Band,Ab Band,32.88363,68.06357
ACHIN,89,"['10/03/2015', '04/06/2015', '06/07/2015', '06/07/2015', '07/07/2015', '07/07/2015', '10/07/2015', '12/07/2015', '23/10/2015', '23/10/2015', '23/10/2015', '27/10/2015', '04/11/2015', '08/01/2016', '09/01/2016', '14/01/2016', '19/01/2016', '19/01/2016', '22/01/2016', '23/01/2016', '23/01/2016', '24/01/2016', '25/01/2016', '01/02/2016', '02/02/2016', '05/02/2016', '08/02/2016', '22/02/2016', '28/02/2016', '05/03/2016', '26/03/2016', '07/04/2016', '14/04/2016', '19/04/2016', '20/04/2016', '22/05/2016', '26/05/2016', '14/06/2016', '15/06/2016', '18/06/2016', '03/07/2016', '08/07/2016', '09/07/2016', '11/07/2016', '13/07/2016', '13/07/2016', '14/07/2016', '16/07/2016', '19/07/2016', '20/07/2016', '23/07/2016', '23/07/2016', '26/07/2016', '27/07/2016', '13/08/2016', '28/09/2016', '04/10/2016', '08/10/2016', '30/10/2016', '09/11/2016', '11/11/2016', '12/11/2016', '20/11/2016', '15/12/2016', '24/12/2016', '27/12/2016', '20/01/2017', '27/01/2017', '01/02/2017', '03/02/2017', '08/02/2017', '20/02/2017', '04/04/2017', '13/04/2017', '15/04/2017', '03/06/2017', '01/07/2017', '16/08/2017', '21/08/2017', '28/08/2017', '20/10/2017', '04/11/2017', '13/11/2017', '29/11/2017', '02/12/2017', '03/12/2017', '05/12/2017', '11/01/2018', '27/02/2019']","[6, 1, 12, 13, 11, 18, 30, 12, 8, 3, 10, 11, 0, 17, 20, 12, 5, 5, 3, 3, 6, 4, 5, 21, 3, 16, 11, 22, 7, 15, 11, 4, 0, 5, 4, 9, 6, 10, 21, 23, 19, 16, 4, 4, 12, 26, 12, 6, 5, 15, 8, 0, 1, 6, 2, 18, 13, 0, 11, 11, 13, 13, 2, 2, 2, 3, 4, 7, 2, 21, 11, 12, 3, 36, 0, 1, 11, 45, 6, 14, 10, 15, 4, 8, 8, 8, 25, 8, 0]","[6, 1, 12, 37, 49, 18, 31, 12, 10, 3, 10, 12, 29, 20, 20, 12, 5, 5, 3, 3, 6, 4, 5, 29, 4, 16, 11, 25, 9, 15, 11, 4, 0, 5, 4, 9, 6, 10, 21, 27, 19, 16, 8, 4, 12, 26, 12, 6, 5, 15, 8, 0, 1, 6, 2, 21, 13, 0, 11, 14, 14, 13, 2, 2, 2, 3, 6, 7, 12, 21, 11, 12, 3, 100, 2, 1, 11, 54, 6, 14, 10, 15, 4, 8, 8, 8, 25, 13, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 13, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 27, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9092805.0,AF-NAN,Achīn,Achin,34.060201,70.665031
AHMADABAD,1,['11/10/2017'],[4],[4],[0],[0],[0],[0],[3],[3],10537907.0,AF-PIA,Aḩmadābād,Ahmadabad,33.773795,69.339813
ALISHENG,1,['29/12/2015'],[2],[2],[0],[0],[0],[0],[0],[0],-3368393.0,AF-LAG,‘Alīsheng,`Alisheng,34.825481,70.084213
ANDAR,4,"['30/01/2018', '22/02/2019', '12/03/2019', '06/10/2019']","[26, 0, 7, 4]","[26, 10, 7, 4]","[0, 0, 0, 1]","[0, 0, 7, 1]","[0, 0, 0, 1]","[0, 0, 0, 1]","[20, 0, 0, 0]","[22, 0, 0, 0]",10536865.0,AF-GHA,Andaṟ,Andar,33.305843,68.446963
ARGHANDAB,1,['22/01/2016'],[3],[3],[0],[0],[0],[0],[0],[0],10537273.0,AF-ZAB,Arghandāb,Arghandab,32.511956,66.987372
AZRAH,3,"['11/06/2016', '28/11/2017', '07/08/2018']","[11, 7, 9]","[11, 7, 14]","[0, 0, 0]","[3, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 15]",10537173.0,AF-LOG,Azrah,Azrah,34.109043,69.624499
BAGRAM,1,['11/12/2019'],[0],[0],[0],[0],[0],[0],[0],[0],10537968.0,AF-PAR,Bagrām,Bagram,34.923949,69.330693
BAKWAH,1,['20/04/2018'],[0],[0],[0],[0],[0],[0],[0],[0],10536781.0,AF-FRA,Bakwāh,Bakwah,32.214779,62.880928
BALCHIRAGH,1,['05/04/2018'],[2],[2],[0],[0],[0],[0],[0],[0],10536794.0,AF-FYB,Bal Chirāgh,Bal Chiragh,35.88083,65.453377
