matched_sort_Loc,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
ABDULKHEL,3,"['23/10/2015', '22/01/2016', '04/10/2016']","[10, 3, 13]","[10, 3, 13]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 2]","[0, 0, 2]",6272534.0,AF-NAN,‘Abdul Khēl,`Abdul Khel,34.053964,70.695985
ADA,1,['19/04/2016'],[5],[5],[0],[0],[0],[0],[0],[0],-3367864.0,AF-NAN,Ada,Ada,34.362225,70.472771
ADOR,1,['08/12/2015'],[11],[11],[0],[0],[0],[0],[0],[0],-3367901.0,AF-NAN,Ador,Ador,34.269173,70.277702
ALIKHEL,1,['10/11/2018'],[2],[7],[2],[7],[0],[0],[1],[1],-3368350.0,AF-PIA,‘Alikhēl,`Alikhel,33.942528,69.719078
ALINGAL,1,['28/10/2016'],[5],[5],[0],[0],[0],[0],[0],[0],-3368377.0,AF-KNR,Alīngal,Alingal,35.139711,71.317203
ALISHIR,3,"['02/03/2015', '05/06/2015', '25/11/2015']","[1, 14, 10]","[1, 14, 16]","[0, 14, 0]","[1, 14, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 20]","[0, 0, 20]",6273489.0,AF-KHO,‘Alīshīr,`Alishir,33.431111,70.066944
ALOZAI,1,['04/06/2018'],[0],[13],[0],[0],[0],[0],[0],[0],-3368447.0,AF-LOG,Alōzaī,Alozai,34.050188,68.993724
AMBARKHANA,1,['24/12/2016'],[1],[1],[0],[0],[0],[0],[4],[4],9092473.0,AF-NAN,Ambaṟkhāna,Ambarkhana,34.304939,70.789223
AMBER,1,['09/07/2017'],[2],[2],[0],[0],[0],[0],[0],[0],-3368516.0,AF-LAG,Ambēr,Amber,34.647732,70.379007
ARG,1,['01/08/2016'],[2],[2],[0],[0],[0],[0],[0],[0],-3368884.0,AF-HEL,Arg,Arg,33.122588,65.172219
ARI,3,"['21/06/2015', '20/11/2016', '11/12/2016']","[6, 2, 7]","[7, 2, 7]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",6272532.0,AF-NAN,Arī,Ari,34.023232,70.646294
ASQALAN,1,['22/05/2016'],[13],[13],[0],[0],[0],[0],[0],[0],-3369113.0,AF-KDZ,‘Asqalān,`Asqalan,36.845656,68.748428
BABRAKTANA,1,['18/11/2015'],[21],[50],[0],[0],[0],[0],[0],[0],399227.0,AF-KHO,Babṟak Tāṉa,Babrak Tana,33.461875,70.217228
BAIGAL,1,['05/08/2017'],[3],[3],[0],[0],[0],[0],[0],[0],-3382602.0,AF-KNR,Baigal,Baigal,35.323403,71.558505
BANDA,10,"['23/10/2015', '14/01/2016', '23/01/2016', '02/02/2016', '22/03/2016', '19/07/2016', '12/11/2016', '24/12/2016', '27/01/2017', '20/02/2017']","[3, 12, 3, 3, 5, 5, 13, 2, 7, 12]","[3, 12, 3, 4, 5, 5, 13, 2, 7, 12]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9091259.0,AF-NAN,Banda,Banda,34.251511,70.546211
BANDARKHWAR,2,"['24/01/2016', '20/01/2017']","[4, 4]","[4, 6]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",9104734.0,AF-NAN,Bāndaṟ Khwaṟ,Bandar Khwar,34.175209,70.790314
BATASH,1,['20/09/2017'],[11],[11],[0],[0],[0],[0],[0],[0],10613429.0,AF-KNR,Bātāsh,Batash,35.195313,71.600214
BOZ,1,['03/11/2016'],[58],[59],[32],[33],[20],[20],[53],[62],-3371082.0,AF-KDZ,Bōz,Boz,36.795737,68.898255
CEHELTAN,1,['20/07/2015'],[7],[10],[0],[0],[0],[0],[5],[6],-3372173.0,AF-LOG,Čeheltan,Ceheltan,33.940277,68.883281
CHAHARBAGH,1,['25/02/2019'],[0],[3],[0],[0],[0],[0],[0],[0],-3371453.0,AF-JOW,Chahār Bāgh,Chahar Bagh,36.865102,66.46549
CHAKNAWRI,1,['26/07/2015'],[5],[6],[0],[0],[0],[0],[0],[0],9102596.0,AF-NAN,Chaknawri,Chaknawri,34.435432,70.423744
CHAKNOWRI,1,['01/03/2017'],[6],[6],[0],[0],[0],[0],[1],[1],9102596.0,AF-NAN,Chaknowrī,Chaknowri,34.435432,70.423744
CHAPADARA,1,['04/09/2017'],[12],[12],[0],[0],[0],[0],[0],[0],-3371872.0,AF-KNR,Chapadara,Chapadara,34.955108,70.764154
CHIGHASERAI,1,['23/03/2018'],[1],[1],[0],[0],[0],[0],[0],[0],-3368983.0,AF-KNR,Chigha Serai,Chigha Serai,34.873113,71.14697
DAG,1,['28/05/2018'],[11],[11],[0],[0],[0],[0],[0],[0],9092774.0,AF-NAN,Dāg,Dag,34.050751,70.66169
DARA,5,"['05/03/2016', '09/07/2016', '13/07/2016', '09/11/2016', '13/11/2017']","[15, 4, 12, 11, 4]","[15, 8, 12, 14, 4]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",9102212.0,AF-NAN,Dara,Dara,34.239468,70.301544
DAWLATZAI,1,['08/07/2017'],[7],[16],[0],[1],[0],[0],[0],[0],-3374594.0,AF-PIA,Ḏawlatza’i,Dawlatza'i,33.465691,68.958061
DEWAGAL,2,"['28/04/2015', '16/02/2018']","[3, 7]","[3, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3374220.0,AF-KNR,Ḏēwagal,Dewagal,34.682856,70.928565
DOBILA,1,['24/11/2015'],[2],[2],[0],[0],[0],[0],[0],[0],9102359.0,AF-NAN,Ḏobila,Dobila,34.444801,70.468452
DZANIKHEL,1,['05/09/2017'],[6],[6],[0],[0],[0],[0],[1],[1],-3377887.0,AF-KHO,Dzānī Khēl,Dzani Khel,33.412566,69.644474
ELBAK,1,['26/05/2016'],[7],[7],[0],[0],[0],[0],[2],[2],-3374781.0,AF-KAN,El Bak,El Bak,32.233052,66.111742
FAIZABAD,1,['24/05/2018'],[0],[0],[0],[0],[0],[0],[0],[0],-3375187.0,AF-BDS,Faizābād,Faizabad,37.116638,70.580022
FARAH,1,['15/05/2018'],[28],[28],[0],[0],[0],[0],[0],[0],-3375092.0,AF-FRA,Farāh,Farah,32.374508,62.116383
GHAZNI,1,['10/08/2018'],[0],[0],[0],[0],[0],[0],[0],[0],-3377571.0,AF-GHA,Ghaznī,Ghazni,32.487857,67.929473
GHORPALA,1,['10/10/2017'],[0],[8],[0],[0],[0],[0],[0],[15],-3376422.0,AF-BDS,Ghōrpala,Ghorpala,37.617174,70.561875
GULAI,1,['08/11/2015'],[3],[3],[0],[0],[0],[0],[1],[1],9092724.0,AF-NAN,Gūlā’ī,Gula'i,34.208771,70.766747
GURGURAI,1,['24/01/2016'],[13],[13],[0],[0],[0],[0],[0],[0],9101638.0,AF-NAN,Gurguraī,Gurgurai,34.103779,70.403801
HARUNBABA,1,['29/07/2015'],[12],[20],[0],[0],[0],[0],[0],[0],9101629.0,AF-NAN,Hārūn Bābā,Harun Baba,34.108501,70.37085
HAZARATESULTAN,1,['28/06/2016'],[14],[14],[0],[0],[0],[0],[8],[8],-3377329.0,AF-KDZ,Ḩaẕarat-e Sulţān,Hazarat-e Sultan,36.772499,68.906832
HESARAK,2,"['19/01/2016', '19/01/2016']","[5, 5]","[5, 5]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3377385.0,AF-NAN,Ḩesārak,Hesarak,34.308168,69.865441
ISAR,1,['31/10/2015'],[2],[2],[0],[0],[0],[0],[0],[0],10922491.0,AF-KNR,Isār,Isar,34.954403,70.798565
ISBAGH,1,['23/02/2017'],[11],[11],[0],[0],[0],[0],[0],[0],6238773.0,AF-HEL,Īšbāgh,Isbagh,32.869123,65.175367
ISMAIL,1,['12/06/2019'],[6],[6],[0],[0],[0],[0],[8],[8],-3374959.0,AF-KDZ,Ismā‘īl,Isma`il,37.133333,68.966667
JANATBAGH,1,['11/07/2017'],[5],[5],[0],[0],[0],[0],[1],[1],-3377900.0,AF-KDZ,Janat Bāgh,Janat Bagh,36.709908,69.105331
JARCI,1,['04/09/2017'],[0],[2],[0],[2],[0],[0],[0],[3],-3377943.0,AF-KAB,Jārči,Jarci,34.879776,69.200585
KALA,3,"['02/09/2016', '10/01/2017', '15/07/2018']","[7, 4, 12]","[7, 4, 12]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 1]",-3378731.0,AF-KHO,Kalā,Kala,33.185556,69.428899
