matched_sort_Loc,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Loc_ufi,matched_sort_Loc_adm1,matched_sort_Loc_full_name,matched_sort_Loc_full_nm_nd,matched_sort_Loc_lat_dd,matched_sort_Loc_long_dd
ADDA,2,"['12/09/2010', '22/03/2013']","[5, 1]","[7, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 1]","[3, 1]",-2754355.0,PK-KP,Adda,Adda,34.216602,72.984997
AK,9,"['05/09/2008', '30/09/2009', '05/11/2009', '11/05/2010', '10/06/2010', '19/11/2010', '11/07/2011', '12/07/2011', '31/10/2011']","[5, 6, 4, 7, 2, 2, 4, 12, 2]","[12, 9, 6, 15, 7, 4, 12, 25, 4]","[5, 0, 0, 0, 4, 0, 0, 0, 2]","[7, 0, 0, 0, 4, 0, 0, 0, 2]","[3, 0, 0, 0, 0, 0, 0, 0, 2]","[4, 0, 0, 0, 0, 0, 0, 0, 2]","[0, 2, 8, 4, 3, 1, 2, 0, 3]","[0, 5, 8, 4, 3, 1, 2, 0, 3]",13523825.0,PK-KP,Ak,Ak,35.034764,73.277057
AKORA,1,['18/11/2009'],[3],[6],[0],[0],[0],[0],[2],[15],-2754579.0,PK-KP,Akora,Akora,34.003365,72.12561
ALE,1,['07/01/2011'],[1],[6],[0],[0],[0],[0],[0],[0],6102943.0,PK-KP,Ale,Ale,34.361955,72.281446
ALIKHEL,1,['22/11/2008'],[4],[6],[0],[1],[0],[0],[6],[6],-2754663.0,PK-KP,Ali Khel,Ali Khel,33.130359,71.327416
ALIKHELHAMZONI,1,['17/03/2010'],[3],[5],[0],[0],[0],[0],[4],[4],-2754662.0,PK-KP,Ali Khel Hamzoni,Ali Khel Hamzoni,32.984236,70.002625
ALOMANRAI,1,['08/10/2014'],[2],[4],[0],[0],[0],[0],[1],[3],244284.0,PK-KP,Alo Manrai,Alo Manrai,32.449532,70.216923
AZAMWARSAK,8,"['28/02/2008', '11/12/2008', '21/09/2010', '13/03/2011', '01/08/2011', '27/09/2011', '27/10/2011', '30/10/2014']","[10, 6, 0, 0, 3, 0, 4, 4]","[13, 7, 16, 4, 6, 4, 6, 7]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 7, 0, 0, 6, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[6, 0, 0, 0, 2, 0, 3, 2]","[16, 0, 0, 5, 7, 2, 4, 2]",12284069.0,PK-KP,Azam Warsak,Azam Warsak,32.287724,69.41375
AZIZKHEL,1,['15/10/2010'],[4],[6],[0],[0],[0],[0],[3],[3],-3875929.0,PK-KP,Aziz Khel,Aziz Khel,33.819857,70.630669
BABAR,2,"['16/11/2011', '08/02/2013']","[4, 6]","[22, 9]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[6, 2]","[12, 6]",-3875867.0,PK-KP,Babar,Babar,33.89999,70.562083
