matched_sort_Adm_2,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd
AHWAR,2,"['04/03/2017', '09/09/2018']","[2, 4]","[2, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",10618516.0,YE-AB,Aḩwar,Ahwar,13.64209,46.755614
ALABR,1,['09/03/2018'],[6],[6],[0],[6],[0],[1],[0],[0],10618780.0,YE-HD,Al ‘Abr,Al `Abr,15.938422,47.228796
ALMAHFID,17,"['07/09/2011', '21/09/2011', '01/06/2012', '20/06/2012', '25/06/2012', '04/07/2012', '23/07/2012', '20/09/2012', '18/05/2013', '01/06/2013', '27/07/2013', '26/11/2013', '31/12/2013', '03/02/2014', '03/03/2014', '01/04/2014', '20/04/2014']","[3, 4, 11, 1, 3, 3, 5, 2, 4, 7, 4, 12, 2, 0, 1, 3, 24]","[10, 4, 12, 1, 3, 13, 5, 4, 9, 8, 9, 12, 6, 4, 1, 3, 31]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[2, 0, 0, 0, 0, 7, 0, 3, 0, 2, 0, 0, 0, 0, 0, 4, 1]","[24, 0, 0, 0, 0, 7, 0, 3, 0, 3, 0, 0, 3, 2, 0, 4, 3]",10618515.0,YE-AB,Al Maḩfid,Al Mahfid,14.01847,46.755958
ALMUKALLA,15,"['12/04/2015', '21/04/2015', '11/05/2015', '09/06/2015', '25/06/2015', '26/06/2015', '03/07/2015', '11/07/2015', '23/08/2015', '26/08/2015', '09/09/2015', '12/09/2015', '28/03/2016', '30/03/2016', '03/04/2016']","[3, 5, 4, 3, 4, 4, 4, 3, 4, 5, 3, 4, 5, 0, 0]","[7, 7, 4, 3, 5, 4, 4, 10, 4, 5, 6, 5, 5, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","[0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",10618447.0,YE-HD,Al Mukallā,Al Mukalla,14.671118,48.91989
ALQATAN,6,"['04/08/2012', '07/08/2012', '29/08/2012', '08/08/2013', '09/12/2013', '08/01/2014']","[3, 2, 5, 3, 3, 2]","[5, 3, 5, 5, 3, 2]","[0, 0, 2, 0, 0, 0]","[0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 0]","[2, 2, 0, 0, 0, 2]",10618443.0,YE-HD,Al Qaţan,Al Qatan,16.016604,48.214611
ALQURAYSHIYAH,1,['25/11/2018'],[5],[8],[0],[0],[0],[0],[0],[0],10618653.0,YE-BA,Al Qurayshīyah,Al Qurayshiyah,14.485872,44.889627
ALWADI,1,['01/07/2017'],[2],[2],[0],[0],[0],[0],[0],[0],10618527.0,YE-AB,Al Waḑī‘,Al Wadi`,13.719918,46.012205
ARHAB,1,['17/12/2009'],[0],[0],[0],[0],[0],[0],[0],[0],10618730.0,YE-SN,Arḩab,Arhab,15.790939,44.246602
ARRAWDAH,1,['03/02/2016'],[6],[6],[0],[0],[0],[0],[0],[0],10618510.0,YE-SH,Ar Rawḑah,Ar Rawdah,14.476294,47.27461
ASSAID,6,"['04/10/2012', '30/07/2013', '31/01/2015', '19/04/2015', '23/04/2017', '26/01/2018']","[3, 3, 4, 2, 3, 7]","[6, 4, 4, 6, 8, 7]","[0, 0, 0, 0, 3, 7]","[0, 0, 0, 0, 8, 7]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0]",10618520.0,YE-SH,Aş Şa‘īd,As Sa`id,14.280411,46.86933
ASSAWMAH,5,"['19/04/2014', '22/09/2016', '24/11/2016', '29/12/2016', '29/03/2018']","[13, 2, 2, 2, 3]","[21, 3, 2, 2, 4]","[3, 0, 0, 0, 0]","[8, 0, 0, 0, 3]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1, 0, 0, 0, 0]","[6, 0, 0, 0, 2]",10618529.0,YE-BA,Aş Şawm‘ah,As Sawm`ah,14.227711,45.831125
ATAQ,1,['10/05/2015'],[1],[4],[0],[0],[0],[0],[0],[0],10618511.0,YE-SH,‘Ataq,`Ataq,14.572856,46.831872
AZZAHIR,1,['14/04/2012'],[3],[7],[0],[0],[0],[0],[0],[0],10618559.0,YE-BA,Az Zāhir,Az Zahir,13.962396,45.421823
BAYHAN,3,"['03/07/2012', '28/02/2015', '30/01/2017']","[2, 3, 2]","[5, 4, 2]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 0, 0]","[2, 0, 0]",10618533.0,YE-SH,Bayḩān,Bayhan,14.752961,45.748229
DHINAIM,1,['24/06/2019'],[0],[5],[0],[0],[0],[0],[0],[0],10618558.0,YE-BA,Dhī Nā‘im,Dhi Na`im,14.108474,45.464202
GHAYLBAWAZIR,1,['19/11/2013'],[5],[5],[0],[0],[0],[0],[0],[0],10618445.0,YE-HD,Ghayl Bā Wazīr,Ghayl Ba Wazir,14.886296,49.024495
HABBAN,2,"['17/04/2015', '12/06/2016']","[2, 2]","[2, 3]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 1]","[0, 1]",10618518.0,YE-SH,Ḩabbān,Habban,14.290268,47.136125
HAJAR,1,['22/03/2016'],[50],[71],[0],[0],[0],[0],[28],[30],10618863.0,YE-HD,Ḩajar,Hajar,14.438039,48.277368
HAJARASSAYAR,1,['26/11/2014'],[7],[7],[0],[0],[0],[0],[0],[0],10618452.0,YE-HD,Ḩajar aş Şay‘ar,Hajar as Say`ar,16.26585,47.953679
HARIB,1,['21/08/2015'],[3],[3],[0],[0],[0],[0],[0],[0],-3187401.0,YE-MA,Ḩarīb,Harib,14.930446,45.368197
KHABBWAASHSHAF,2,"['09/06/2013', '12/03/2014']","[2, 2]","[7, 3]","[1, 0]","[1, 0]","[1, 0]","[1, 0]","[0, 0]","[0, 0]",10618778.0,YE-JA,Khabb wa ash Sha‘f,Khabb wa ash Sha`f,16.643164,45.785317
KHANFIR,14,"['18/06/2011', '05/09/2011', '05/09/2011', '18/03/2012', '30/04/2012', '10/05/2012', '14/05/2012', '15/05/2012', '19/05/2012', '20/05/2012', '07/06/2012', '07/06/2012', '13/06/2012', '18/10/2012']","[0, 3, 9, 8, 3, 5, 0, 14, 3, 0, 3, 5, 10, 7]","[0, 7, 11, 8, 3, 12, 0, 42, 5, 9, 3, 5, 18, 9]","[0, 3, 1, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0]","[0, 7, 1, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[6, 4, 2, 0, 0, 0, 2, 20, 0, 0, 0, 3, 1, 0]","[6, 4, 2, 0, 0, 0, 2, 21, 0, 0, 0, 3, 1, 0]",10618532.0,YE-AB,Khanfir,Khanfir,13.447814,45.733642
KHAWLAN,1,['23/01/2013'],[4],[4],[2],[2],[0],[0],[0],[0],-3188759.0,YE-SN,Khawlān,Khawlan,15.270134,44.702496
LAWDAR,6,"['31/01/2012', '11/04/2012', '21/04/2012', '23/04/2012', '30/04/2012', '14/05/2012']","[10, 10, 12, 0, 4, 6]","[14, 14, 17, 4, 4, 6]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 10, 0, 0, 0, 0]","[0, 10, 5, 0, 0, 0]",10618528.0,YE-AB,Lawdar,Lawdar,13.709611,45.800769
MARIB,2,"['21/10/2012', '21/09/2015']","[4, 2]","[4, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3189597.0,YE-MA,Ma’rib,Ma'rib,15.723778,46.011143
MAYFAAH,1,['15/10/2014'],[4],[4],[0],[0],[0],[0],[0],[0],10618513.0,YE-SH,Mayfa‘ah,Mayfa`ah,14.370924,47.740448
MUDIYAH,5,"['14/03/2010', '15/03/2010', '26/04/2012', '16/05/2012', '07/06/2012']","[2, 7, 3, 16, 2]","[3, 20, 3, 16, 2]","[0, 0, 0, 0, 0]","[0, 20, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 5, 7]","[0, 0, 0, 14, 7]",10618524.0,YE-AB,Mūdīyah,Mudiyah,13.885422,46.219647
NISAB,3,"['23/04/2012', '25/09/2014', '06/12/2014']","[3, 4, 9]","[3, 5, 10]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[2, 0, 3]","[2, 0, 3]",10618512.0,YE-SH,Nişāb,Nisab,14.478977,46.44767
RADA,10,"['06/08/2012', '02/09/2012', '04/01/2013', '20/05/2013', '12/12/2013', '06/01/2014', '24/10/2014', '26/10/2014', '04/11/2014', '13/09/2016']","[7, 12, 3, 2, 12, 0, 3, 12, 9, 5]","[7, 12, 3, 2, 17, 0, 10, 20, 20, 5]","[0, 12, 0, 0, 8, 0, 0, 2, 0, 0]","[0, 12, 0, 0, 16, 0, 10, 10, 0, 0]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 4, 0, 0, 5, 0, 0, 0, 0, 0]","[0, 11, 0, 0, 30, 2, 0, 0, 0, 0]",-3191086.0,YE-BA,Radā‘,Rada`,14.339995,44.908741
RAGHWAN,1,['08/10/2017'],[5],[5],[0],[0],[0],[0],[0],[0],10618737.0,YE-MA,Raghwān,Raghwan,15.788076,45.069418
RUDUM,2,"['03/03/2014', '04/03/2016']","[2, 4]","[4, 4]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[2, 0]","[2, 0]",10618514.0,YE-SH,Ruḑūm,Rudum,14.085554,47.868147
SAYUN,1,['19/01/2016'],[2],[2],[0],[0],[0],[0],[0],[0],10618441.0,YE-HD,Say’ūn,Say'un,15.947115,48.831486
USAYLAN,1,['21/04/2014'],[3],[4],[1],[1],[1],[1],[0],[0],10618644.0,YE-SH,‘Usaylān,`Usaylan,15.171595,46.027444
ZINJIBAR,11,"['03/06/2011', '10/06/2011', '27/07/2011', '24/08/2011', '22/12/2011', '18/03/2012', '22/03/2012', '02/05/2012', '26/03/2016', '05/04/2016', '25/04/2016']","[7, 1, 5, 30, 1, 14, 29, 10, 6, 0, 3]","[7, 1, 5, 30, 1, 18, 30, 15, 6, 0, 6]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 40, 0, 0, 24, 0, 0, 0, 0]","[0, 0, 0, 40, 0, 0, 24, 0, 0, 0, 0]",10618573.0,YE-AB,Zinjibār,Zinjibar,13.140857,45.430399
