,matched_sort_Adm_3,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_3_ufi,matched_sort_Adm_3_adm1,matched_sort_Adm_3_full_name,matched_sort_Adm_3_full_nm_nd,matched_sort_Adm_3_lat_dd,matched_sort_Adm_3_long_dd,reviewed,options
0,BARMAL,7,"['20/02/2011', '12/07/2011', '13/10/2011', '26/10/2011', '13/03/2012', '03/06/2012', '02/01/2013']","[6, 5, 3, 13, 6, 0, 6]","[8, 13, 6, 22, 8, 10, 11]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[2, 3, 3, 6, 2, 4, 0]","[2, 5, 3, 6, 4, 10, 0]",-3878881,PK-KP,Barmal,Barmal,32.773268,69.571249,,"[('BIRMAL', 83, 188), ('BARA', 80, 162), ('BARNALA', 77, 2), ('KAMBARALIKHAN', 75, 480), ('NARA', 68, 454)]"
1,CHENGAI,1,['30/10/2006'],[81],[83],[80],[82],[68],[70],[3],[3],6047618,PK-KP,Chengai,Chengai,34.840597,71.431624,SHINKAI,"[('CHAGAISUB', 62, 24), ('HARNAI', 62, 41), ('NAGARI', 62, 209), ('NAG', 60, 138), ('SHINKAI', 57, 89)]"
2,DATTAKHEL,45,"['03/10/2008', '03/10/2008', '04/04/2009', '17/12/2009', '16/03/2010', '09/05/2010', '11/05/2010', '03/09/2010', '04/09/2010', '25/09/2010', '13/10/2010', '18/10/2010', '07/11/2010', '01/01/2011', '09/03/2011', '16/03/2011', '17/03/2011', '12/05/2011', '12/07/2011', '12/07/2011', '30/10/2011', '12/01/2012', '23/01/2012', '23/05/2012', '28/05/2012', '21/08/2012', '10/03/2013', '22/03/2013', '14/04/2013', '30/09/2013', '10/07/2014', '16/07/2014', '19/07/2014', '05/08/2014', '24/09/2014', '07/10/2014', '08/10/2014', '09/10/2014', '11/11/2014', '20/11/2014', '07/12/2014', '20/12/2014', '04/01/2015', '06/08/2015', '09/01/2016']","[3, 17, 13, 2, 7, 5, 8, 2, 7, 2, 6, 6, 3, 4, 5, 3, 26, 5, 13, 1, 4, 5, 0, 1, 2, 4, 1, 1, 4, 1, 6, 15, 11, 5, 5, 2, 2, 3, 4, 5, 4, 4, 6, 4, 5]","[3, 21, 15, 2, 11, 10, 14, 4, 8, 4, 14, 7, 6, 5, 5, 5, 42, 8, 15, 9, 6, 9, 2, 5, 5, 25, 3, 4, 6, 4, 7, 24, 15, 7, 11, 4, 4, 4, 7, 8, 6, 6, 10, 7, 5]","[3, 7, 8, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 19, 0, 0, 1, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 14, 13, 0, 0, 4, 4, 0, 0, 0, 6, 1, 0, 0, 0, 0, 41, 0, 4, 1, 4, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[5, 0, 1, 0, 2, 4, 12, 2, 12, 0, 0, 1, 1, 0, 2, 0, 9, 1, 0, 3, 2, 2, 0, 1, 0, 2, 1, 1, 2, 2, 2, 4, 0, 2, 0, 5, 1, 0, 2, 2, 2, 0, 0, 2, 2]","[5, 0, 1, 0, 2, 4, 12, 2, 12, 0, 0, 6, 4, 0, 3, 0, 14, 1, 0, 5, 3, 3, 0, 2, 0, 2, 1, 1, 2, 4, 3, 6, 0, 3, 0, 5, 3, 0, 3, 3, 2, 0, 0, 3, 2]",-3879026,PK-KP,Datta Khel,Datta Khel,32.908489,69.744773,,"[('DATAKHEL', 94, 175), ('MATTA', 72, 280), ('TANK', 68, 281), ('UTMANKHEL', 67, 155), ('ISAKHEL', 62, 362)]"
3,GHULAMKHAN,9,"['07/11/2010', '11/11/2010', '16/11/2010', '28/12/2010', '28/12/2010', '28/12/2010', '31/12/2010', '09/12/2012', '06/09/2013']","[8, 5, 20, 5, 5, 9, 4, 2, 5]","[9, 8, 20, 7, 12, 10, 8, 4, 7]","[0, 0, 0, 0, 2, 0, 0, 0, 0]","[0, 0, 9, 0, 4, 0, 0, 3, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 5, 0, 2, 3, 6, 0, 0, 3]","[2, 6, 0, 2, 3, 6, 0, 0, 7]",395874,PK-KP,Ghulam Khan,Ghulam Khan,33.051656,70.019932,,"[('GHULAMKHAN', 100, 178), ('LAKHRA', 75, 99), ('GUJARKHAN', 74, 393), ('KAHAN', 72, 91), ('KOTGHULAMMUHAMMAD', 72, 466)]"
4,LADHA,8,"['08/07/2009', '08/07/2009', '05/08/2009', '11/08/2009', '10/12/2009', '06/01/2013', '17/04/2013', '15/01/2015']","[8, 35, 1, 12, 6, 8, 4, 4]","[10, 40, 12, 25, 6, 18, 6, 7]","[0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 4, 6, 0, 0, 0, 0]","[0, 0, 0, 4, 0, 0, 0, 0]","[0, 0, 0, 4, 0, 0, 0, 0]","[5, 1, 5, 5, 8, 3, 2, 3]","[12, 1, 5, 7, 8, 7, 7, 4]",-2766991,PK-KP,Ladha,Ladha,33.964179,72.800395,,"[('LADHA', 100, 189), ('LAKHRA', 73, 99), ('PALLANDARI', 72, 17), ('KOTRADHAKISHAN', 72, 343), ('THANOBULAKHAN', 72, 444)]"
5,MAKIN,6,"['14/06/2008', '25/03/2009', '23/06/2009', '23/06/2009', '07/07/2009', '22/09/2013']","[1, 6, 5, 60, 14, 6]","[1, 8, 6, 83, 18, 7]","[0, 0, 0, 18, 0, 0]","[1, 0, 0, 50, 0, 0]","[0, 0, 0, 10, 0, 0]","[0, 0, 0, 10, 0, 0]","[0, 5, 7, 27, 10, 2]","[0, 5, 7, 27, 10, 4]",6188727,PK-KP,Makin,Makin,32.45739,69.832735,,"[('MAKIN', 100, 190), ('MASHKAI', 67, 22), ('MAND', 67, 67), ('DERAMURADJAMALI', 60, 115), ('DAK', 60, 117)]"
6,MIRALI,25,"['29/01/2008', '24/09/2009', '14/02/2010', '04/10/2010', '27/10/2010', '16/05/2011', '16/05/2011', '23/05/2011', '15/06/2011', '05/07/2011', '20/07/2011', '22/08/2011', '16/02/2012', '24/05/2012', '28/05/2012', '04/06/2012', '24/09/2012', '10/10/2012', '06/12/2012', '21/12/2012', '08/01/2013', '08/01/2013', '10/01/2013', '13/07/2013', '31/08/2013']","[12, 10, 5, 5, 2, 4, 3, 4, 5, 4, 4, 3, 8, 5, 4, 14, 3, 3, 2, 3, 4, 0, 3, 2, 3]","[15, 12, 7, 9, 5, 10, 6, 7, 6, 6, 4, 7, 15, 12, 10, 18, 8, 6, 11, 6, 9, 9, 6, 3, 4]","[4, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[6, 12, 0, 3, 0, 0, 0, 0, 6, 3, 0, 4, 0, 8, 0, 6, 0, 0, 1, 0, 2, 0, 0, 0, 0]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 5, 4, 2, 1, 2, 0, 2, 0, 5, 2, 3, 3, 3, 4, 3, 2, 3, 1, 2, 1, 1, 0, 0, 1]","[2, 5, 4, 2, 1, 4, 0, 2, 0, 5, 2, 3, 3, 4, 4, 6, 2, 3, 6, 2, 4, 4, 0, 0, 3]",-2774137,PK-KP,Mīr Ali,Mir Ali,32.697515,69.948741,,"[('MIRALI', 100, 179), ('ALAI', 77, 220), ('MATLI', 73, 422), ('MALIR', 73, 537), ('MIANWALI', 71, 363)]"
7,MIRANSHAH,53,"['30/08/2008', '08/09/2008', '11/10/2008', '08/03/2010', '03/09/2010', '09/09/2010', '26/09/2010', '06/10/2010', '13/11/2010', '13/03/2011', '10/08/2011', '16/08/2011', '03/11/2011', '15/11/2011', '17/11/2011', '10/01/2012', '08/02/2012', '09/02/2012', '16/02/2012', '30/03/2012', '29/04/2012', '26/05/2012', '13/06/2012', '14/06/2012', '26/06/2012', '01/07/2012', '23/07/2012', '19/08/2012', '19/08/2012', '24/08/2012', '24/08/2012', '24/08/2012', '24/10/2012', '29/12/2012', '03/01/2013', '29/05/2013', '07/06/2013', '03/07/2013', '28/07/2013', '31/10/2013', '29/11/2013', '25/12/2013', '11/10/2014', '26/11/2014', '26/12/2014', '26/12/2014', '15/01/2015', '19/01/2015', '28/01/2015', '12/04/2015', '16/05/2015', '18/05/2015', '01/06/2015']","[6, 17, 4, 9, 6, 3, 3, 5, 4, 4, 8, 2, 2, 3, 7, 1, 9, 3, 5, 3, 3, 1, 2, 1, 4, 6, 11, 4, 2, 13, 0, 0, 1, 4, 3, 3, 7, 16, 5, 0, 2, 3, 2, 4, 4, 3, 5, 5, 6, 4, 4, 3, 4]","[11, 23, 5, 9, 9, 6, 5, 11, 4, 7, 25, 7, 3, 7, 9, 4, 10, 8, 6, 4, 6, 4, 4, 4, 7, 9, 14, 7, 3, 22, 0, 0, 1, 5, 6, 7, 11, 18, 8, 5, 3, 4, 4, 9, 5, 4, 7, 7, 7, 4, 7, 6, 5]","[2, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[9, 20, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0]","[1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 14, 2, 2, 2, 3, 1, 4, 1, 5, 3, 2, 3, 2, 3, 2, 2, 3, 4, 3, 1, 1, 0, 2, 2, 2, 2, 2, 2, 4, 0, 0, 6, 2, 1, 1, 3, 5, 2, 3, 1, 1, 0, 2, 0, 0, 0, 4, 2, 2, 2, 2, 0]","[8, 25, 2, 2, 3, 5, 2, 4, 1, 5, 8, 2, 3, 4, 5, 2, 12, 3, 7, 3, 3, 2, 0, 3, 7, 3, 11, 3, 2, 14, 0, 0, 9, 2, 1, 4, 4, 5, 4, 3, 2, 1, 0, 3, 0, 0, 0, 6, 4, 2, 2, 3, 0]",-2769162,PK-KP,Miran Shah,Miran Shah,33.000588,70.071166,,"[('MIRANSHAH', 100, 180), ('MANSEHRA', 71, 258), ('CHOASAIDANSHAH', 70, 308), ('MIRWAH', 67, 453), ('MIANCHANNU', 63, 553)]"
8,RAZMAK,1,['23/01/2011'],[4],[6],[0],[0],[0],[0],[3],[3],-2772609,PK-KP,Razmak,Razmak,32.689313,69.8343,,"[('RAZMAK', 100, 181), ('RAZAR', 73, 271), ('YAZMAN', 67, 302), ('DERAMURADJAMALI', 60, 115), ('DAK', 60, 117)]"
9,SPINWAM,2,"['22/04/2011', '06/02/2013']","[20, 3]","[26, 5]","[5, 0]","[9, 2]","[3, 0]","[5, 0]","[5, 1]","[10, 1]",-2775143,PK-KP,Spīnwām,Spinwam,33.180165,70.380772,,"[('SPINWAM', 100, 183), ('DINA', 68, 337), ('SUI', 60, 35), ('NAG', 60, 138), ('SILLANWALI', 59, 407)]"
