,matched_sort_Adm_2,Strike ID,Date,Minimum total people killed,Maximum total people killed,Minimum civilians reported killed,Maximum civilians reported killed,Minimum children reported killed,Maximum children reported killed,Minimum reported injured,Maximum reported injured,matched_sort_Adm_2_ufi,matched_sort_Adm_2_adm1,matched_sort_Adm_2_full_name,matched_sort_Adm_2_full_nm_nd,matched_sort_Adm_2_lat_dd,matched_sort_Adm_2_long_dd,reviewed,options
0,AFGOOYE,10,"['08/03/2016', '12/05/2016', '25/08/2017', '16/10/2017', '10/11/2017', '04/12/2018', '07/02/2019', '23/02/2019', '18/03/2019', '03/01/2020']","[19, 5, 0, 0, 13, 4, 4, 0, 3, 3]","[19, 5, 10, 5, 13, 4, 4, 3, 7, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 10, 2, 3, 0, 0, 0, 4, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 8, 0, 0, 0, 0, 0, 0]",-3215104,SO-SH,Afgooye,Afgooye,2.1381,45.1212,,"[('AFGOOYE', 100, 46), ('GAROOWE', 57, 25), ('LUGHAYE', 43, 3), ('AFMADOW', 43, 71), ('LAASCAANOOD', 41, 12)]"
1,AFMADOOW,1,['11/04/2018'],[0],[0],[0],[0],[0],[0],[0],[0],-3215133,SO-JH,Afmadoow,Afmadoow,0.512652,42.079622,,"[('AFMADOW', 93, 71), ('DOOLOW', 57, 65), ('SAAKOW', 57, 69), ('GAROOWE', 53, 25), ('CADAADO', 53, 35)]"
2,BAARDHEERE,3,"['12/03/2015', '15/07/2015', '15/07/2015']","[3, 2, 0]","[3, 3, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-3215721,SO-GE,Baardheere,Baardheere,2.3385,42.2843,,"[('BAARDHEERE', 100, 62), ('XARARDHEERE', 86, 32), ('QANSAXDHEERE', 73, 55), ('BADHAADHE', 63, 72), ('QARDHO', 60, 24)]"
3,BADHAADHE,1,['07/01/2007'],[8],[10],[2],[2],[0],[1],[1],[3],-3215830,SO-JH,Badhaadhe,Badhaadhe,-1.033161,41.497749,,"[('BADHAADHE', 100, 72), ('BAYDHABA', 71, 52), ('BAARDHEERE', 63, 62), ('CADAADO', 62, 35), ('BARAAWE', 62, 47)]"
4,BARAWE,5,"['14/09/2009', '05/10/2013', '01/08/2014', '31/08/2017', '07/09/2017']","[2, 1, 6, 1, 1]","[6, 7, 6, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2, 1, 0, 1, 0]","[2, 1, 0, 1, 0]",-3216177,SO-SH,Barawe,Barawe,1.1132,44.0297,,"[('BARAAWE', 92, 47), ('BUAALE', 67, 67), ('CEELBARDE', 66, 57), ('GAROOWE', 62, 25), ('WANLAWEYN', 60, 51)]"
5,BELEDWEYNE,3,"['30/01/2019', '24/02/2019', '25/02/2019']","[24, 35, 20]","[24, 35, 20]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",-3216432,SO-HI,Beledweyne,Beledweyne,4.735833,45.203611,,"[('BELETWEYNE', 90, 38), ('OWDWEYNE', 67, 10), ('CEELAFWEYN', 60, 17), ('EYL', 60, 27), ('CEELDHEER', 53, 37)]"
6,BUAALE,1,['16/12/2019'],[1],[1],[0],[0],[0],[0],[0],[0],-3216949,SO-JD,Bu’aale,Bu'aale,1.083333,42.583333,,"[('BUAALE', 100, 67), ('SABLAALE', 71, 50), ('CADALE', 67, 44), ('ADANYABAAL', 66, 42), ('BARAAWE', 62, 47)]"
7,BURHACABA,1,['05/02/2019'],[0],[0],[0],[0],[0],[0],[0],[0],-3217352,SO-BY,Bur Hacaba,Bur Hacaba,2.802571,44.078055,,"[('BUURHAKABA', 84, 53), ('BAYDHABA', 59, 52), ('BURCO', 57, 8), ('BORAMA', 53, 1), ('BALCAD', 53, 43)]"
8,DINSOOR,2,"['31/01/2015', '08/01/2019']","[2, 6]","[9, 6]","[0, 0]","[4, 0]","[0, 0]","[0, 0]","[0, 0]","[4, 0]",-3220147,SO-BY,Dinsoor,Dinsoor,2.4085,42.9771,,"[('DIINSOOR', 93, 54), ('DOOLOW', 46, 65), ('BANADIR', 43, 0), ('GALDOGOB', 40, 29), ('KISMAAYO', 40, 70)]"
9,DUSAMARREB,1,['01/05/2008'],[8],[15],[5],[10],[0],[0],[0],[0],-3220028,SO-GA,Dusa Marreb,Dusa Marreb,5.535975,46.386656,,"[('DHUUSAMARREEB', 87, 33), ('MARKA', 54, 45), ('BAARDHEERE', 50, 62), ('BUAALE', 50, 67), ('XARARDHEERE', 48, 32)]"
