sort_name,strike_count,dates,min_total,max_total,min_civilians,max_civilians,min_children,max_children,min_injured,max_injured,ufi,adm1,full_name,full_nm_nd,lat_dd,long_dd,geometry
ARAARA,1,['14/10/2018'],[4],[4],[0],[0],[0],[0],[0],[0],-3215376.0,SO-JH,Araara,Araara,0.026309,42.682939,POINT (0.026309 42.682939)
AWDHEEGLE,4,"['08/03/2016', '04/12/2018', '23/02/2019', '18/03/2019']","[19, 4, 0, 3]","[19, 4, 3, 7]","[0, 0, 0, 0]","[0, 0, 0, 4]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",-3215580.0,SO-SH,Aw Dheegle,Aw Dheegle,1.977532,44.832486,POINT (1.977532 44.832486)
BACAW,1,['03/01/2020'],[3],[3],[0],[0],[0],[0],[0],[0],-3215801.0,SO-SH,Bacaw,Bacaw,2.068232,44.913313,POINT (2.068232 44.913313)
BAHLEDOGLI,1,['30/09/2019'],[10],[10],[0],[0],[0],[0],[0],[0],-3230450.0,SO-SH,Bahle Dogli,Bahle Dogli,2.6185,44.8938,POINT (2.6185 44.8938)
BALCAD,2,"['21/11/2015', '22/05/2019']","[5, 2]","[10, 2]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3215956.0,SO-SH,Balcad,Balcad,2.649822,45.049614,POINT (2.649822 45.049614)
BANGEENI,1,['19/01/2020'],[3],[3],[0],[0],[0],[0],[0],[0],-3216103.0,SO-JH,Bangeeni,Bangeeni,0.05,42.716667,POINT (0.05 42.716667)
BAQDAAD,1,['07/01/2019'],[4],[4],[0],[0],[0],[0],[0],[0],-3216156.0,SO-JH,Baqdaad,Baqdaad,-0.04144,42.653653,POINT (-0.04144 42.653653)
BARGAL,1,['01/06/2007'],[8],[12],[0],[0],[0],[0],[0],[0],-3216222.0,SO-BR,Bargal,Bargal,11.286356,51.077298,POINT (11.286356 51.077298)
BARIIRRE,3,"['25/08/2017', '16/10/2017', '07/02/2019']","[0, 0, 4]","[10, 5, 4]","[0, 0, 0]","[10, 2, 0]","[0, 0, 0]","[3, 0, 0]","[0, 0, 0]","[0, 8, 0]",-3216239.0,SO-SH,Bariirre,Bariirre,2.047573,44.897461,POINT (2.047573 44.897461)
BASRA,1,['10/11/2017'],[13],[13],[0],[3],[0],[0],[0],[0],-3216331.0,SO-SH,Basra,Basra,2.2991,45.2636,POINT (2.2991 45.2636)
DAARASALAAM,2,"['04/05/2017', '11/03/2019']","[4, 8]","[9, 8]","[0, 0]","[0, 7]","[0, 0]","[0, 0]","[0, 0]","[0, 1]",-3218577.0,SO-SH,Daarasalaam,Daarasalaam,1.922139,44.787128,POINT (1.922139 44.787128)
DEBATSCILE,2,"['19/11/2018', '19/11/2018']","[27, 10]","[27, 10]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]","[0, 0]",-3219289.0,SO-MU,Debatscile,Debatscile,5.166667,48.133333,POINT (5.166667 48.133333)
DUGULE,1,['31/01/2015'],[40],[60],[0],[0],[0],[0],[0],[0],-3220515.0,SO-SH,Dugule,Dugule,1.283709,43.731428,POINT (1.283709 43.731428)
DUJUUMA,1,['16/12/2019'],[1],[1],[0],[0],[0],[0],[0],[0],-3220525.0,SO-JD,Dujuuma,Dujuuma,1.253114,42.573772,POINT (1.253114 42.573772)
GANDARSHE,5,"['15/12/2018', '16/12/2018', '01/02/2019', '03/02/2019', '06/02/2019']","[34, 28, 13, 0, 11]","[34, 28, 13, 0, 11]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",-3221816.0,SO-SH,Gandarshe,Gandarshe,1.834581,44.966584,POINT (1.834581 44.966584)
GAROWLE,1,['11/04/2019'],[2],[2],[0],[0],[0],[0],[0],[0],-3222082.0,SO-SH,Garowle,Garowle,1.6547,44.2857,POINT (1.6547 44.2857)
GOBANLE,1,['30/08/2016'],[2],[2],[0],[0],[0],[0],[0],[0],-3222527.0,SO-SH,Gobanle,Gobanle,3.1227,44.7656,POINT (3.1227 44.7656)
JAMEECO,1,['13/03/2018'],[12],[12],[0],[0],[0],[0],[15],[15],-3224658.0,SO-SD,Jameeco,Jameeco,2.7058,45.6239,POINT (2.7058 45.6239)
JANACABDALLE,1,['11/04/2018'],[0],[0],[0],[0],[0],[0],[0],[0],-3224672.0,SO-JH,Jana Cabdalle,Jana Cabdalle,0.021084,42.312647,POINT (0.021084 42.312647)
KAMSUUMA,1,['12/03/2018'],[0],[0],[0],[0],[0],[0],[0],[0],-3225192.0,SO-JH,Kamsuuma,Kamsuuma,0.24932,42.779147,POINT (0.24932 42.779147)
KOBON,1,['08/02/2019'],[8],[8],[0],[0],[0],[0],[0],[0],-3225397.0,SO-JH,Kobon,Kobon,0.035633,42.70911,POINT (0.035633 42.70911)
LEBEDE,1,['30/11/2018'],[9],[9],[0],[0],[0],[0],[0],[0],-3226094.0,SO-BY,Lebede,Lebede,2.412061,43.446084,POINT (2.412061 43.446084)
LEEGO,1,['05/02/2019'],[0],[0],[0],[0],[0],[0],[0],[0],-3226156.0,SO-BY,Leego,Leego,2.716321,44.511484,POINT (2.716321 44.511484)
