sort_name,strike_count,dates,min_total,max_total,min_civilians,max_civilians,min_children,max_children,min_injured,max_injured,ufi,adm1,full_name,full_nm_nd,lat_dd,long_dd,geometry
AIN,1,['04/07/2016'],[2],[3],[0],[0],[0],[0],[0],[1],-3184915.0,YE-SH,Ain,Ain,14.851925,45.529041,POINT (14.851925 45.529041)
ALAJASHIR,1,['15/01/2010'],[0],[6],[0],[0],[0],[0],[0],[0],-3091208.0,YE-SD,Al Ajāshir,Al Ajashir,17.183333,44.8,POINT (17.183333 44.8)
ALASKARIYAH,1,['10/08/2013'],[2],[5],[0],[0],[0],[0],[2],[5],-3182564.0,YE-LA,Al ‘Askarīyah,Al `Askariyah,13.616667,45.1,POINT (13.616667 45.1)
ALAUN,1,['08/08/2013'],[2],[7],[0],[0],[0],[0],[0],[0],-3182595.0,YE-HD,Al-‘Aun,Al-`Aun,15.966667,48.716667,POINT (15.966667 48.716667)
ALHAUTAH,1,['20/02/2015'],[2],[3],[0],[0],[0],[0],[0],[0],-3183010.0,YE-SH,Al Hautah,Al Hautah,14.430458,46.149807,POINT (14.430458 46.149807)
ALHUDAID,1,['07/03/2018'],[1],[1],[1],[1],[0],[0],[0],[0],-3183073.0,YE-HD,Al-Ḥudaid,Al-Hudaid,15.816667,48.4,POINT (15.816667 48.4)
ALJABUL,1,['10/07/2016'],[0],[0],[0],[0],[0],[0],[4],[4],11181800.0,YE-MA,Al Jabūl,Al Jabul,15.429585,45.361063,POINT (15.429585 45.361063)
ALKHAMILA,1,['01/08/2011'],[13],[16],[0],[0],[0],[0],[12],[17],-3183325.0,YE-AB,Al Khamila,Al Khamila,13.124444,45.313889,POINT (13.124444 45.313889)
ALMAJALAH,1,['17/12/2009'],[55],[58],[44],[44],[21],[22],[9],[9],-3183515.0,YE-AB,Al Ma‘jalah,Al Ma`jalah,13.97526,46.458454,POINT (13.97526 46.458454)
ALWADIH,1,['02/11/2017'],[2],[2],[0],[0],[0],[0],[0],[0],11279364.0,YE-MA,Al Wāḑiḩ,Al Wadih,14.836477,45.470118,POINT (14.836477 45.470118)
